Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,15092026,1922914637,0003415
Trade Date <15-SEP-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,138,830NHAI27,N2,2618,2614,99.85
20,139,830PFCL27,N5,350,350,100.00
20,140,835SCL23B,YM,5,5,100.00
20,141,837IIFL28,Y4,5,5,100.00
20,142,83GS2040,GS,851,851,100.00
20,143,83GS2042,GS,160,160,100.00
20,144,842IIFL26,NL,1194,1094,91.62
20,145,843IHFL29,NC,293,293,100.00
20,146,848AEL29,NJ,20,20,100.00
20,147,852IIFL29,Y5,1,1,100.00
20,148,862AEL31,NM,88,88,100.00
20,149,863IRFC29,NC,20,20,100.00
20,150,865IHFL27,N1,10,10,100.00
20,151,865IIFL28,NS,561,561,100.00
20,152,865IRFC29,NA,500,500,100.00
20,153,865LTF26,NN,11,11,100.00
20,154,865SCL27,N4,10,10,100.00
20,155,865TCAPS27,N8,100,100,100.00
20,156,870IIFL28,Y7,100,100,100.00
20,157,871REC28,N9,51,51,100.00
20,158,875AEL29,NK,138,138,100.00
20,159,875IIFL26,NM,193,193,100.00
20,160,875NHAI29,N6,638,638,100.00
20,161,875SFL27,ZF,10,10,100.00
20,162,876HUDCO28,ND,100,100,100.00
20,163,879NHPC28,N5,13,13,100.00
20,164,879SCL30,N0,11,11,100.00
20,165,87HMDA39,N0,200,200,100.00
20,166,87LTF27,NH,200,200,100.00
20,167,880IREDA29,N5,52,52,100.00
20,168,885TCAPS29,NC,227,225,99.12
20,169,888IRFC29,NE,543,543,100.00
20,170,888SCL25E,N4,41,41,100.00
20,171,889SCFL27,YC,20,20,100.00
20,172,889SCL28,NU,2,2,100.00
20,173,890AEL31,NN,160,160,100.00
20,174,890SFIL23A,NZ,134,134,100.00
20,175,891IIFCL34,N4,2072,1620,78.19
20,176,891NTPC33,N6,1290,1289,99.92
20,177,892NHPC33,N6,260,260,100.00
20,178,892PFCL33,N8,102,102,100.00
20,179,895AEL27,N9,2,1,50.00
20,180,897GS2030,GS,4000,4000,100.00
20,181,897MOFSL29,N4,505,505,100.00
20,182,898LTF29,N7,157,151,96.18
20,183,901HUDCO34,NE,200,200,100.00
20,184,901NHB34,N6,248,159,64.11
20,185,902SCL28,N1,100,100,100.00
20,186,903SFL28,YI,589,539,91.51
20,187,905LTF27,NF,650,650,100.00
20,188,910TCAP28,NA,952,952,100.00
20,189,915APSBC27,N0,1,1,100.00
20,190,915APSBC31,N0,1,1,100.00
20,191,91D011026,TB,300,200,66.67
20,192,91D051126,TB,3000,3000,100.00
20,193,91D081026,TB,700,700,100.00
20,194,91D101226,TB,1300,1300,100.00
20,195,91D121126,TB,5000,3000,60.00
20,196,91D151026,TB,100,100,100.00
20,197,91D240926,TB,5100,5100,100.00
20,198,920HFL30,N0,1,1,100.00
20,199,925ECL28,N2,50,50,100.00
20,200,925ISF28,N0,74,42,56.76
20,201,925SCFL27,YA,10,10,100.00
20,202,92GS2030,GS,11978,9848,82.22
20,203,930APMD27,N0,2,1,50.00
20,204,930APMD30,N0,10,10,100.00
20,205,930APMD32,N0,5,5,100.00
20,206,930SFL28,YP,5,5,100.00
20,207,935LTF29,N5,101,100,99.01
20,208,935TSIIC28,N0,1,1,100.00
20,209,93MOFSL34,N6,186,186,100.00
20,210,945SCL28,N0,1,1,100.00
20,211,948SCL26B,Y8,130,130,100.00
20,212,948SCL27D,N1,5,5,100.00
20,213,94SFL28,YL,30,30,100.00
20,214,950ISF27C,N0,11,11,100.00
20,215,956AEL29,N6,40,40,100.00
20,216,957ICCL25,YW,15,15,100.00
20,217,957IIFLS27,NA,30,30,100.00
20,218,965AEL27,N4,1138,1138,100.00
20,219,965SCL25C,N0,102,101,99.02
20,220,96IIFL28,N5,880,880,100.00
20,221,96IIFL28A,NF,1841,1841,100.00
20,222,970CAGL28,ND,84,75,89.29
20,223,975ISF28,N0,1,1,100.00
20,224,97MOFSL34,N7,50,50,100.00
20,225,97SFL29,YZ,200,0,0.00
20,226,985ECL28,NK,345,345,100.00
20,227,990SCL27,YT,165,165,100.00
20,228,99AEL29,N7,13,11,84.62
20,229,9IIFL28,Y0,100,100,100.00
20,230,9SCL27,N2,30,30,100.00
20,231,A2ZINFRA,EQ,95954,67182,70.01
20,232,AAATECH,EQ,189713,180240,95.01
20,233,AADHARHFC,EQ,231528,116378,50.27
20,234,AAKAAR,SM,9600,9600,100.00
20,235,AAKASH,EQ,132523,87508,66.03
20,236,AARADHYA,ST,19200,18000,93.75
20,237,AAREYDRUGS,EQ,212869,169162,79.47
20,238,AARON,EQ,14325,11123,77.65
20,239,AARTIDRUGS,EQ,143544,70320,48.99
20,240,AARTIIND,EQ,789421,430537,54.54
20,241,AARTIPHARM,EQ,386201,196886,50.98
20,242,AARVI,EQ,5231,4173,79.77
20,243,AASTHA,EQ,772986,379084,49.04
20,244,AATMAJ,SM,16000,14000,87.50
20,245,AAVAS,EQ,114642,63952,55.78
20,246,ABANSENT,EQ,5280,4536,85.91
20,247,ABB,EQ,195095,93336,47.84
20,248,ABBOTINDIA,EQ,10732,5633,52.49
20,249,ABCAPITAL,EQ,2529778,1275946,50.44
20,250,ABCOTS,EQ,6697,5100,76.15
20,251,ABDL,EQ,522432,239563,45.86
20,252,ABFRL,EQ,9099306,5564423,61.15
20,253,ABGSEC,EQ,5,3,60.00
20,254,ABH,ST,30000,30000,100.00
20,255,ABHAPOWER,SM,1600,1600,100.00
20,256,ABLBL,EQ,625654,339874,54.32
20,257,ABMKNO,EQ,2678,2536,94.70
20,258,ABREL,EQ,197639,92103,46.60
20,259,ABSL10BANK,EQ,3511,3466,98.72
20,260,ABSLAMC,EQ,129497,64335,49.68
20,261,ABSLBANETF,EQ,23799,12539,52.69
20,262,ABSLLIQUID,EQ,9016,8305,92.11
20,263,ABSLMSCIN,EQ,354,309,87.29
20,264,ABSLNN50ET,EQ,43922,21485,48.92
20,265,ABSLPSE,EQ,109470,94089,85.95
20,266,ABSMARINE,SM,70000,50500,72.14
20,267,ACC,EQ,205903,111703,54.25
20,268,ACCELYA,EQ,5132,3405,66.35
20,269,ACCENTMIC,SM,141000,105500,74.82
20,270,ACCPL,ST,8400,8400,100.00
20,271,ACE,EQ,332640,169151,50.85
20,272,ACEINTEG,EQ,6074,5935,97.71
20,273,ACETEC,SM,22800,16800,73.68
20,274,ACGL,EQ,944,743,78.71
20,275,ACI,EQ,295921,168469,56.93
20,276,ACL,EQ,4611,3172,68.79
20,277,ACMESOLAR,EQ,5262214,2254141,42.84
20,278,ACTIVEINFR,SM,600,600,100.00
20,279,ACUTAAS,EQ,264234,116164,43.96
20,280,ADANIENSOL,EQ,822951,347380,42.21
20,281,ADANIENT,EQ,1783310,920830,51.64
20,282,ADANIGREEN,EQ,980470,490785,50.06
20,283,ADANIPORTS,EQ,1610729,921384,57.20
20,284,ADANIPOWER,EQ,14417003,6742915,46.77
20,285,ADDICTIVE,SM,5500,5000,90.91
20,286,ADDIND,EQ,6,4,66.67
20,287,ADFFOODS,EQ,65591,23622,36.01
20,288,ADISOFT,SM,87200,56800,65.14
20,289,ADL,EQ,3183,912,28.65
20,290,ADOR,EQ,31262,17269,55.24
20,291,ADROITINFO,EQ,36084,23562,65.30
20,292,ADSL,EQ,112407,55112,49.03
20,293,ADVAIT,EQ,34911,17509,50.15
20,294,ADVANCE,EQ,66283,45242,68.26
20,295,ADVANIHOTR,EQ,35019,27543,78.65
20,296,ADVENTHTL,EQ,361220,91862,25.43
20,297,ADVENZYMES,EQ,247159,144677,58.54
20,298,ADVIKCA,EQ,431765,365212,84.59
20,299,AEGISLOG,EQ,701470,269962,38.49
20,300,AEGISVOPAK,EQ,4447657,1272685,28.61
20,301,AEL120924A,N5,2,2,100.00
20,302,AEL17725,NA,20,20,100.00
