Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,07092026,2014396224,0003429
Trade Date <07-SEP-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1003ISFL28,N4,546,546,100.00
20,2,1003SCL30A,NV,96,5,5.21
20,3,1015ECL29,NR,214,157,73.36
20,4,1015UCL27,NF,37,37,100.00
20,5,1018GS2026,GS,5694,5683,99.81
20,6,1025SCL34,Z8,26,13,50.00
20,7,1025SCL34A,ZT,4,4,100.00
20,8,1025SCL35A,N1,59,50,84.75
20,9,1025VCCL28,N0,1,1,100.00
20,10,1040UCL27B,N1,158,158,100.00
20,11,1050UCL28,NH,38,38,100.00
20,12,105IIFL29,N7,602,302,50.17
20,13,1060ECL29,NS,270,185,68.52
20,14,1065NFL27,NC,24,24,100.00
20,15,1075SCL33A,N2,65,65,100.00
20,16,1075SCL34,ZR,20,20,100.00
20,17,1075WCA28,N0,5,5,100.00
20,18,10CAGL27,N5,27,27,100.00
20,19,10IIFL28,N4,830,830,100.00
20,20,1119NFL27,ND,81,81,100.00
20,21,1125AFIL29,N0,15,15,100.00
20,22,1165ESF32,N0,1,1,100.00
20,23,1225IFL27,N0,15,15,100.00
20,24,1225IFL28,N0,4,4,100.00
20,25,125VCCL31,N0,2,2,100.00
20,26,12AFIL27,N0,1,1,100.00
20,27,12AFIL28,N0,6,6,100.00
20,28,12VCCL27,N0,8,5,62.50
20,29,12VCCL29B,N0,5,5,100.00
20,30,182D180926,TB,12000,12000,100.00
20,31,182D311226,TB,200,100,50.00
20,32,20MICRONS,EQ,373719,141267,37.80
20,33,21STCENMGM,EQ,8675,5902,68.03
20,34,360ONE,EQ,407077,204269,50.18
20,35,364D110327,TB,100,100,100.00
20,36,364D240926,TB,100,100,100.00
20,37,3BBLACKBIO,EQ,14265,7103,49.79
20,38,3MINDIA,EQ,1326,644,48.57
20,39,3PLAND,EQ,1703,1634,95.95
20,40,574GS2026,GS,5,5,100.00
20,41,591GS2028,GS,99,99,100.00
20,42,5PAISA,EQ,29942,12856,42.94
20,43,603GS2029,GS,5,5,100.00
20,44,610GS2031,GS,1,1,100.00
20,45,636GS2031,GS,100,100,100.00
20,46,63MOONS,EQ,249471,116689,46.77
20,47,645GS2029,GS,5,5,100.00
20,48,648GS2035,GS,3350,2625,78.36
20,49,654GS2032,GS,26000,26000,100.00
20,50,657GS2033A,GS,2100,2100,100.00
20,51,663ML31,SG,100,100,100.00
20,52,664GS2027,GS,100,100,100.00
20,53,667GS2035,GS,100,100,100.00
20,54,667GS2050,GS,6413,6413,100.00
20,55,668GS2033,GS,5000,5000,100.00
20,56,676GS2061,GS,15861,15843,99.89
20,57,679GS2031,GS,390,390,100.00
20,58,690GS2065,GS,3600,3600,100.00
20,59,692GS2039,GS,111,100,90.09
20,60,694GS2036,GS,400,400,100.00
20,61,695GS2061,GS,438,419,95.66
20,62,698GR2054,GS,201,200,99.50
20,63,698HR31,SG,100,100,100.00
20,64,702GS2027,GS,199,199,100.00
20,65,702GS2031,GS,1000,1000,100.00
20,66,704GS2029,GS,2000,2000,100.00
20,67,706GS2028,GS,7275,7275,100.00
20,68,706GS2041,GS,1000,1000,100.00
20,69,706GS2046,GS,11591,11591,100.00
20,70,709GS2054,GS,30487,30487,100.00
20,71,709GS2074,GS,4498,4498,100.00
20,72,710GS2029,GS,1,1,100.00
20,73,717GS2030,GS,10,10,100.00
20,74,718GS2037,GS,47811,42807,89.53
20,75,723GS2039,GS,1000,1000,100.00
20,76,724GS2055,GS,15921,15021,94.35
20,77,725GS2063,GS,345123,289350,83.84
20,78,726GS2032,GS,114010,109570,96.11
20,79,726GS2033,GS,25000,25000,100.00
20,80,729CG30,SG,100,100,100.00
20,81,729PN33,SG,6200,6200,100.00
20,82,732GS2030,GS,200,200,100.00
20,83,733GS2026,GS,210,210,100.00
20,84,734GS2064,GS,10885,9677,88.90
20,85,735UP39,SG,700,700,100.00
20,86,736GS2052,GS,493,493,100.00
20,87,736PFCL28,N2,22,20,90.91
20,88,738GS2027,GS,18236,18188,99.74
20,89,738REC27TF,N2,285,255,89.47
20,90,73GS2053,GS,10200,10200,100.00
20,91,740IIFCL33,N1,6,6,100.00
20,92,741GS2036,GS,433,433,100.00
20,93,743GJ27,SG,100,100,100.00
20,94,743GS2076,GS,459559,459054,99.89
20,95,743REC35,NH,371,236,63.61
20,96,746GS2073,GS,1965,1957,99.59
20,97,746TS49,SG,300,300,100.00
20,98,748PN31,SG,100,100,100.00
20,99,749TN36,SG,1900,1900,100.00
20,100,749UP34A,SG,100,100,100.00
20,101,74GS2062,GS,20,20,100.00
20,102,751HUDCO28,N5,16,15,93.75
20,103,753IRFC30,NJ,2000,2000,100.00
