Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,10092026,1892686493,0003398
Trade Date <10-SEP-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1003ISFL28,N4,454,454,100.00
20,2,1015ECL29,NR,430,430,100.00
20,3,1015SCFL29,YY,1,1,100.00
20,4,1025PATE28,N0,34,31,91.18
20,5,1025VCCL28,N0,1,1,100.00
20,6,1050ISFL28,N5,20,20,100.00
20,7,1050UCL28,NH,25,25,100.00
20,8,105IIFL29,N7,2,2,100.00
20,9,1060ECL29,NS,65,65,100.00
20,10,1065NFL27,NC,60,60,100.00
20,11,1075SCL33A,N2,25,25,100.00
20,12,10IIFL28,N4,500,500,100.00
20,13,10IIFL28A,NE,100,100,100.00
20,14,10ISFL26,N3,137,137,100.00
20,15,10UCL26,ND,9,9,100.00
20,16,111ESFB31,N0,1,1,100.00
20,17,1125AFIL29,N0,59,59,100.00
20,18,1150AFIL28,N0,2,2,100.00
20,19,115AFIL28A,N0,10,10,100.00
20,20,116VCCL26A,N0,6,6,100.00
20,21,116VCCL27,N0,2,2,100.00
20,22,11VCCL27,N0,2,2,100.00
20,23,1225IFL28,N0,21,21,100.00
20,24,125VCCL31,N0,1,1,100.00
20,25,12AFIL27,N0,10,10,100.00
20,26,12AFIL28,N0,290,290,100.00
20,27,12VCCL27A,N0,2,2,100.00
20,28,12VCCL29B,N0,5,5,100.00
20,29,12VPT28A,N0,10,10,100.00
20,30,20MICRONS,EQ,115259,69009,59.87
20,31,21STCENMGM,EQ,2643,1850,70.00
20,32,360ONE,EQ,839166,519088,61.86
20,33,364D101226,TB,30500,30500,100.00
20,34,364D231026,TB,500,500,100.00
20,35,364D280527,TB,100,100,100.00
20,36,364D290727,TB,100,100,100.00
20,37,3BBLACKBIO,EQ,13603,7063,51.92
20,38,3MINDIA,EQ,1403,346,24.66
20,39,3PLAND,EQ,1053,780,74.07
20,40,574GS2026,GS,6,6,100.00
20,41,5PAISA,EQ,28304,13151,46.46
20,42,603GS2029,GS,100,100,100.00
20,43,610GS2031,GS,1,1,100.00
20,44,627TN27,SG,1000,1000,100.00
20,45,633GS2035,GS,3,3,100.00
20,46,636GS2031,GS,89,89,100.00
20,47,63MOONS,EQ,841520,262292,31.17
20,48,645GS2029,GS,112,112,100.00
20,49,648GS2035,GS,3162,3162,100.00
20,50,654GS2032,GS,36181,36091,99.75
20,51,664GS2027,GS,3510,3510,100.00
20,52,667GS2035,GS,12,12,100.00
20,53,667GS2050,GS,10,10,100.00
20,54,668GS2033,GS,1000,1000,100.00
20,55,668GS2040,GS,45656,45656,100.00
20,56,676GS2061,GS,16233,16232,99.99
20,57,679GS2034,GS,150,150,100.00
20,58,679GS2034A,GS,200,199,99.50
20,59,690GS2065,GS,2371,2371,100.00
20,60,694GS2036,GS,301,300,99.67
20,61,695GS2061,GS,214,214,100.00
20,62,695KA28,SG,300,300,100.00
20,63,697GR2034,GS,375,375,100.00
20,64,699GS2051,GS,105,56,53.33
20,65,702GS2027,GS,1100,1100,100.00
20,66,702GS2031,GS,890,890,100.00
20,67,704GS2029,GS,60,60,100.00
20,68,704IRFC28,N6,1,1,100.00
20,69,706GS2028,GS,500,500,100.00
20,70,706GS2041,GS,200,200,100.00
20,71,709GS2054,GS,11463,11340,98.93
20,72,709GS2074,GS,16585,16585,100.00
20,73,710GS2029,GS,4584,4584,100.00
20,74,716GS2050,GS,1,1,100.00
20,75,716OR32,SG,100,100,100.00
20,76,717GS2030,GS,1220,1220,100.00
20,77,718GS2033,GS,131,131,100.00
20,78,718GS2037,GS,19313,18113,93.79
20,79,722GJ35,SG,100,100,100.00
20,80,724GS2055,GS,41783,41782,100.00
20,81,725GS2063,GS,56757,56755,100.00
20,82,726GS2032,GS,21620,21620,100.00
20,83,730PFCL41,NC,50,50,100.00
20,84,733GS2026,GS,530,430,81.13
20,85,734GS2064,GS,33790,33789,100.00
