Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,16092026,1793935500,0003406
Trade Date <16-SEP-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0MOFSL27,N3,14,14,100.00
20,2,1003SCL30A,NV,6,6,100.00
20,3,1015ECL29,NR,91,91,100.00
20,4,1015SCL28A,AL,6,6,100.00
20,5,1015SCL29,ZL,146,146,100.00
20,6,1025SCL34B,N1,3,3,100.00
20,7,1025SCL35A,N1,264,264,100.00
20,8,1025UCL26A,N1,10,10,100.00
20,9,1025UCL27A,NG,545,300,55.05
20,10,1030SFIL28,NM,58,58,100.00
20,11,1039UCL26,NE,70,70,100.00
20,12,105IIFL29,N7,90,90,100.00
20,13,1060ECL29,NS,198,198,100.00
20,14,1065NFL27,NC,115,115,100.00
20,15,1075SCL33,YK,82,82,100.00
20,16,1075SCL33A,N2,1,1,100.00
20,17,10IIFL28,N4,133,133,100.00
20,18,10IIFL28A,NE,210,210,100.00
20,19,10IIFL29,N6,159,159,100.00
20,20,10MWL29,N0,3,3,100.00
20,21,10UCL26,ND,10,10,100.00
20,22,111ESFB31,N0,2,2,100.00
20,23,115AFIL28A,N0,12,12,100.00
20,24,115VCCL28A,N0,5,5,100.00
20,25,11MCS27,N0,27,27,100.00
20,26,12AFIL27,N0,7,7,100.00
20,27,12AFIL28,N0,40,40,100.00
20,28,12VCCL29B,N0,1,1,100.00
20,29,182D070127,TB,200,100,50.00
20,30,182D210127,TB,4600,4600,100.00
20,31,182D221026,TB,100,100,100.00
20,32,20MICRONS,EQ,142761,67824,47.51
20,33,21STCENMGM,EQ,190,178,93.68
20,34,360ONE,EQ,635279,456431,71.85
20,35,364D080727,TB,200,100,50.00
20,36,364D231026,TB,1500,1500,100.00
20,37,364D291026,TB,1000,1000,100.00
20,38,3BBLACKBIO,EQ,24554,11045,44.98
20,39,3MINDIA,EQ,27574,2094,7.59
20,40,3PLAND,EQ,1449,1355,93.51
20,41,574GS2026,GS,28,27,96.43
20,42,5PAISA,EQ,33376,16712,50.07
20,43,610GS2031,GS,1400,1400,100.00
20,44,620GS2029,GS,700,400,57.14
20,45,633GS2035,GS,10,10,100.00
20,46,636GS2031,GS,30,30,100.00
20,47,63MOONS,EQ,268737,93690,34.86
20,48,648GS2035,GS,23,23,100.00
20,49,667GS2035,GS,1,1,100.00
20,50,667GS2050,GS,100,100,100.00
20,51,668GS2033,GS,10,10,100.00
20,52,668GS2040,GS,510,510,100.00
20,53,675GS2029,GS,200,200,100.00
20,54,676GS2061,GS,33732,33709,99.93
20,55,690GS2065,GS,2343,2343,100.00
20,56,692GS2039,GS,20,20,100.00
20,57,694GS2036,GS,378,200,52.91
20,58,695GS2061,GS,4109,4106,99.93
20,59,695KA28,SG,200,200,100.00
20,60,695MH31,SG,100,100,100.00
20,61,698HR31,SG,100,100,100.00
20,62,699GS2051,GS,11453,11453,100.00
20,63,702GS2027,GS,2415,2415,100.00
20,64,704GS2029,GS,7800,7800,100.00
20,65,706GS2028,GS,2575,2575,100.00
20,66,706GS2041,GS,5,5,100.00
20,67,709GS2054,GS,14611,14511,99.32
20,68,709GS2074,GS,4559,4559,100.00
20,69,710GS2029,GS,15218,12109,79.57
20,70,712BR34,SG,400,400,100.00
20,71,717GS2030,GS,8633,7633,88.42
20,72,718GS2033,GS,4075,4075,100.00
20,73,718GS2037,GS,20408,20004,98.02
20,74,719HUDCO28,N7,5,4,80.00
20,75,71MH33,SG,1000,1000,100.00
20,76,724GS2055,GS,12645,12645,100.00
20,77,724UP33,SG,100,100,100.00
20,78,725GS2063,GS,50489,49938,98.91
20,79,726GS2032,GS,10800,10800,100.00
20,80,726GS2033,GS,40,40,100.00
20,81,732GS2030,GS,200,200,100.00
20,82,733GS2026,GS,290,290,100.00
20,83,734GS2064,GS,193291,193243,99.98
20,84,735NHAI31,N9,182,182,100.00
20,85,735PFCL35,N1,100,100,100.00
20,86,736GS2052,GS,10175,10175,100.00
20,87,736PFCL28,N2,150,150,100.00
20,88,737GS2028,GS,6000,5000,83.33
20,89,737NTPC35C,NA,38,38,100.00
20,90,738GS2027,GS,11840,10838,91.54
20,91,738REC27TF,N2,22,11,50.00
20,92,739CG33,SG,100,100,100.00
20,93,73GS2053,GS,39164,39164,100.00
20,94,741GS2036,GS,6191,6191,100.00
20,95,743GS2076,GS,24843,23836,95.95
20,96,744AP33,SG,100,100,100.00
20,97,746GS2073,GS,1,1,100.00
20,98,747HR33,SG,100,100,100.00
20,99,749TN36,SG,700,700,100.00
20,100,74GS2062,GS,801,801,100.00
20,101,750GS2056,GS,953,953,100.00
20,102,751HR29,SG,100,100,100.00
20,103,751HUDCO28,N5,2,2,100.00
20,104,752TN33,SG,100,100,100.00
20,105,753IRFC30,NJ,1,1,100.00
20,106,754GS2036,GS,320564,315215,98.33
20,107,754PN34,SG,100,100,100.00
20,108,755GJ31,SG,200,200,100.00
20,109,755MH34,SG,100,100,100.00
20,110,762GJ28,SG,100,100,100.00
20,111,762UP33,SG,100,100,100.00
20,112,764HUDCO31,N8,10,5,50.00
20,113,764IRFC31,NO,255,255,100.00
20,114,764NABAR31,N2,126,125,99.21
20,115,767GA33,SG,100,100,100.00
20,116,769HUDCO31,N9,170,170,100.00
20,117,769NHAI31,NE,1139,1039,91.22
20,118,76NHAI31,NA,1064,795,74.72
20,119,771GS2066,GS,4090,4090,100.00
20,120,774IREDA31,N7,4,4,100.00
20,121,77MH33A,SG,900,900,100.00
20,122,797IGT31,NL,10,10,100.00
20,123,79NHIT35,N1,1650,1554,94.18
20,124,79NHIT40,N2,3468,3268,94.23
20,125,79NHIT47,N3,1842,1742,94.57
20,126,7PFCL31,N3,5,5,100.00
20,127,805NMC30,N2,43,43,100.00
20,128,805NMC31,N3,24,23,95.83
20,129,805NMC32,N4,23,23,100.00
20,130,805NMC33,N5,23,23,100.00
20,131,805NMC34,N6,23,23,100.00
20,132,807AP51,SG,100,100,100.00
20,133,810IRFC27,N2,226,216,95.58
20,134,812REC27,NI,111,111,100.00
20,135,81TCHF28,N8,4,4,100.00
20,136,820IIFL27,N9,10,10,100.00
20,137,824GS2027,GS,72,72,100.00
20,138,828GS2032,GS,4089,4089,100.00
20,139,829PFL29,N6,1,1,100.00
20,140,82HUDCO27,N2,10126,6478,63.97
20,141,82IGT31,NJ,45,45,100.00
20,142,830NHAI27,N2,14528,11889,81.84
20,143,837IIFL28,Y4,25,25,100.00
20,144,83GS2040,GS,1550,1550,100.00
20,145,840IRFC29,N8,180,90,50.00
20,146,842IIFL26,NL,256,256,100.00
20,147,843IHFL29,NC,754,754,100.00
20,148,848AEL29,NJ,447,447,100.00
20,149,84TCHF28,NA,118,118,100.00
20,150,862AEL31,NM,12,12,100.00
20,151,865IFL28,NZ,100,100,100.00
20,152,865IHFL27,N1,494,247,50.00
20,153,865IIFL28,NS,3,3,100.00
20,154,865IIFL31,Y6,100,100,100.00
20,155,865IRFC29,NA,3,2,66.67
20,156,865LTF26,NN,11,11,100.00
20,157,865SCL27,N4,3,3,100.00
20,158,86GS2028,GS,428,214,50.00
20,159,871REC28,N9,335,325,97.01
20,160,875AEL29,NK,100,100,100.00
20,161,875NHAI29,N6,1330,1124,84.51
20,162,875SFL27,ZF,10,10,100.00
20,163,876HUDCO28,ND,50,50,100.00
20,164,87LTF27,NH,1785,1113,62.35
20,165,880IREDA29,N5,40,40,100.00
20,166,885AEL28,NB,102,102,100.00
20,167,885IIFL29,Y8,8,8,100.00
20,168,885TCAPS29,NC,25,20,80.00
20,169,888ECL28,N1,546,546,100.00
20,170,888IRFC29,NE,4370,3670,83.98
20,171,888SCL25E,N4,12,12,100.00
20,172,889SCFL27,YC,188,188,100.00
20,173,889SCL28,NU,307,307,100.00
20,174,890AEL31,NN,482,480,99.59
20,175,890SFIL23A,NZ,50,50,100.00
20,176,891NTPC33,N6,169,169,100.00
20,177,892NHPC33,N6,150,150,100.00
20,178,892PFCL33,N8,126,115,91.27
20,179,893NHB29,N6,280,275,98.21
20,180,897GS2030,GS,3118,2857,91.63
20,181,897MOFSL29,N4,201,201,100.00
20,182,8SMC29,N1,507,507,100.00
20,183,901HUDCO34,NE,246,246,100.00
20,184,901NHB34,N6,115,115,100.00
20,185,903SFL28,YI,243,192,79.01
20,186,905LTF27,NF,70,70,100.00
20,187,910TCAP28,NA,139,93,66.91
20,188,915AEL28,NC,10,10,100.00
20,189,915APSBC31,N0,1,1,100.00
20,190,915SCL27,Z7,1,1,100.00
20,191,91D011026,TB,100,100,100.00
20,192,91D101226,TB,200,100,50.00
20,193,91D121126,TB,600,600,100.00
20,194,91D151026,TB,300,300,100.00
20,195,91D221026,TB,5000,5000,100.00
20,196,91MOFSL27,N2,25,25,100.00
20,197,920HFL30,N0,1,1,100.00
20,198,925ISF28,N0,6,6,100.00
20,199,925SCFL27,YA,8,8,100.00
20,200,925SCL2028,N8,318,318,100.00
20,201,92GS2030,GS,20239,19929,98.47
20,202,930AEL30,NF,50,50,100.00
20,203,930APMD29,N0,1,1,100.00
20,204,930SFL28,YP,15,15,100.00
20,205,932AEL27,N3,30,30,100.00
20,206,935LTF29,N5,45,35,77.78
20,207,935PFL33,N3,100,100,100.00
20,208,935TSI29,N0,1,1,100.00
20,209,943ECL28,NJ,120,120,100.00
20,210,948SCL27,YV,600,600,100.00
20,211,948SCL27D,N1,1,1,100.00
20,212,94SFL28,YL,160,160,100.00
20,213,956AEL29,N6,332,285,85.84
20,214,957IIFLS27,NA,40,40,100.00
20,215,965AEL27,N4,1260,1260,100.00
20,216,965SCL25C,N0,100,100,100.00
20,217,965SCL25F,NZ,6,6,100.00
20,218,965SCL28,AK,442,442,100.00
20,219,96IIFL28,N5,1838,1738,94.56
20,220,96IIFL28A,NF,2002,1727,86.26
20,221,970CAGL28,ND,112,102,91.07
20,222,971SCL28I,BC,30,20,66.67
20,223,975SCL29,N0,14,14,100.00
20,224,97MOFSL34,N7,50,50,100.00
20,225,97SFL29,YZ,4,4,100.00
20,226,985ECL28,NK,716,655,91.48
20,227,985SFIL28,NO,12,12,100.00
20,228,990SCL26B,Y7,10,10,100.00
20,229,990SCL27,YT,182,182,100.00
20,230,99AEL29,N7,604,490,81.13
20,231,9IIFL28A,NT,567,567,100.00
20,232,9PCPL28A,N0,14,14,100.00
20,233,9PFL31A,NA,1,1,100.00
20,234,9SCL27,N2,29,29,100.00
20,235,A2ZINFRA,EQ,255635,152145,59.52
20,236,AAATECH,EQ,230663,137445,59.59
20,237,AADHARHFC,EQ,157363,78119,49.64
20,238,AAKAAR,SM,1600,1600,100.00
20,239,AAKASH,EQ,60235,52630,87.37
20,240,AARADHYA,ST,27600,27600,100.00
20,241,AAREYDRUGS,EQ,483322,307630,63.65
20,242,AARON,EQ,14637,11225,76.69
20,243,AARTIDRUGS,EQ,137839,65239,47.33
20,244,AARTIIND,EQ,521378,206559,39.62
20,245,AARTIPHARM,EQ,378693,138918,36.68
20,246,AARVI,EQ,9027,6317,69.98
20,247,AASTHA,EQ,356386,147685,41.44
20,248,AATMAJ,SM,2000,2000,100.00
20,249,AAVAS,EQ,61560,25356,41.19
20,250,ABANSENT,EQ,4690,3026,64.52
20,251,ABB,EQ,115646,45289,39.16
20,252,ABBOTINDIA,EQ,5678,3040,53.54
20,253,ABCAPITAL,EQ,1287557,630805,48.99
20,254,ABCOTS,EQ,1377,885,64.27
20,255,ABDL,EQ,1453879,627990,43.19
20,256,ABFRL,EQ,8057945,4193638,52.04
20,257,ABGSEC,EQ,366,202,55.19
20,258,ABH,SM,942000,468000,49.68
20,259,ABHAPOWER,SM,1600,1600,100.00
20,260,ABLBL,EQ,535560,313176,58.48
20,261,ABMKNO,EQ,513,437,85.19
20,262,ABREL,EQ,167844,73438,43.75
20,263,ABSL10BANK,EQ,677,387,57.16
20,264,ABSLAMC,EQ,168606,68414,40.58
20,265,ABSLBANETF,EQ,59736,48365,80.96
20,266,ABSLLIQUID,EQ,2169,1522,70.17
20,267,ABSLMSCIN,EQ,322,292,90.68
20,268,ABSLNN50ET,EQ,6880,3718,54.04
20,269,ABSLPSE,EQ,102027,66704,65.38
20,270,ABSMARINE,SM,112500,69000,61.33
20,271,ACC,EQ,85875,46363,53.99
20,272,ACCELYA,EQ,5452,3534,64.82
20,273,ACCENTMIC,SM,60500,34000,56.20
20,274,ACCPL,ST,19200,14400,75.00
20,275,ACE,EQ,425403,162647,38.23
20,276,ACEINTEG,EQ,2250,1761,78.27
20,277,ACGL,EQ,449,321,71.49
