Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,04092026,2040487778,0003375
Trade Date <04-SEP-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0MOFSL27,N3,30,30,100.00
20,2,1003SFIL28,NX,4,4,100.00
20,3,1015ECL29,NR,710,707,99.58
20,4,1015SCL28,NR,6,6,100.00
20,5,1015SCL28B,AZ,1,1,100.00
20,6,1015SCL29B,N1,1,1,100.00
20,7,1018GS2026,GS,5208,5000,96.01
20,8,1025PATE28,N0,1,1,100.00
20,9,1025UCL26A,N1,5,5,100.00
20,10,1025VCCL28,N0,15,9,60.00
20,11,1050UCL28,NH,309,309,100.00
20,12,1060ECL29,NS,110,110,100.00
20,13,1065NFL27,NC,431,431,100.00
20,14,1075WCA28,N0,4,4,100.00
20,15,10IIFL28,N4,807,807,100.00
20,16,10IIFL28A,NE,770,770,100.00
20,17,10IIFL29,N6,20,20,100.00
20,18,10ISFL26,N3,25,25,100.00
20,19,1125AFIL29,N0,40,40,100.00
20,20,1150AFIL29,N0,21,21,100.00
20,21,115VCCL31,N0,1,1,100.00
20,22,125VCCL31,N0,4,4,100.00
20,23,1275DCCL28,N0,4,4,100.00
20,24,12AFIL27,N0,5,5,100.00
20,25,12AFIL28,N0,15,15,100.00
20,26,12VCCL29B,N0,10,10,100.00
20,27,182D100926,TB,1000,1000,100.00
20,28,182D260227,TB,200,100,50.00
20,29,20MICRONS,EQ,174812,82174,47.01
20,30,21STCENMGM,EQ,2056,1530,74.42
20,31,360ONE,EQ,603451,311039,51.54
20,32,364D031226,TB,15000,15000,100.00
20,33,364D100627,TB,2800,1400,50.00
20,34,364D110227,TB,100,100,100.00
20,35,364D110327,TB,200,100,50.00
20,36,364D130527,TB,400,300,75.00
20,37,364D231026,TB,500,500,100.00
20,38,364D251226,TB,3000,3000,100.00
20,39,364D290427,TB,1800,900,50.00
20,40,364D291026,TB,1000,500,50.00
20,41,3BBLACKBIO,EQ,19626,8828,44.98
20,42,3MINDIA,EQ,932,556,59.66
20,43,3PLAND,EQ,11543,7898,68.42
20,44,574GS2026,GS,1,1,100.00
20,45,585GS2030,GS,501,501,100.00
20,46,591GS2028,GS,15340,15218,99.20
20,47,5PAISA,EQ,258086,65965,25.56
20,48,601GS2030,GS,19,19,100.00
20,49,603GS2029,GS,100,100,100.00
20,50,610GS2031,GS,200,200,100.00
20,51,620GS2029,GS,7000,7000,100.00
20,52,633GS2035,GS,199,199,100.00
20,53,63MOONS,EQ,1136718,478314,42.08
20,54,648GS2035,GS,10,10,100.00
20,55,653CG28,SG,200,200,100.00
20,56,654GS2032,GS,17692,17692,100.00
20,57,664GS2027,GS,100,100,100.00
20,58,667GS2035,GS,799,799,100.00
20,59,667GS2050,GS,1,1,100.00
20,60,668GS2033,GS,300,200,66.67
20,61,668GS2040,GS,20102,20102,100.00
20,62,676GS2061,GS,3797,3797,100.00
20,63,679GS2031,GS,110,110,100.00
20,64,679GS2034A,GS,199,199,100.00
20,65,68GS2060,GS,990,990,100.00
20,66,690GS2065,GS,17185,15185,88.36
20,67,692GS2039,GS,500,500,100.00
20,68,694GS2036,GS,108,108,100.00
20,69,695GS2061,GS,2,1,50.00
20,70,702GS2027,GS,100,100,100.00
20,71,704GS2029,GS,100,100,100.00
20,72,706GS2028,GS,16100,16100,100.00
20,73,706GS2041,GS,3990,3990,100.00
20,74,709GS2054,GS,12308,7308,59.38
20,75,709GS2074,GS,1551,1551,100.00
20,76,710GS2029,GS,1089,1089,100.00
20,77,716GS2050,GS,15,15,100.00
20,78,717GS2030,GS,10000,10000,100.00
20,79,718GS2033,GS,100,100,100.00
20,80,718GS2037,GS,38273,37769,98.68
20,81,719GS2060,GS,25,25,100.00
20,82,723GS2039,GS,100,100,100.00
20,83,724GS2055,GS,16037,15532,96.85
20,84,725GS2063,GS,266232,264071,99.19
20,85,726GS2032,GS,2400,2400,100.00
20,86,726GS2033,GS,1600,1600,100.00
20,87,726MH30,SG,100,100,100.00
20,88,732GS2030,GS,200,100,50.00
20,89,733GS2026,GS,200,200,100.00
20,90,734GS2064,GS,127566,127564,100.00
20,91,735MH31,SG,500,500,100.00
20,92,735PFCL35,N1,770,770,100.00
20,93,736GS2052,GS,31009,31009,100.00
20,94,737GS2028,GS,3575,3575,100.00
20,95,737RJ30,SG,100,100,100.00
20,96,738GS2027,GS,29686,29686,100.00
20,97,738REC27TF,N2,200,200,100.00
20,98,73GS2053,GS,54492,54492,100.00
20,99,741GS2036,GS,2022,2009,99.36
20,100,743GS2076,GS,14967,14958,99.94
20,101,746GS2073,GS,101,101,100.00
20,102,74GS2062,GS,502,502,100.00
20,103,750GS2056,GS,4412,4412,100.00
20,104,753IRFC30,NJ,102,102,100.00
20,105,754GS2036,GS,379689,370889,97.68
20,106,755GJ30,SG,300,300,100.00
20,107,757MH31,SG,2700,2700,100.00
20,108,762NTPC35F,ND,157,157,100.00
20,109,764AP31,SG,100,100,100.00
20,110,764HUDCO31,N8,313,313,100.00
20,111,764NABAR31,N2,931,757,81.31
20,112,769HUDCO31,N9,320,300,93.75
20,113,769NHAI31,NE,1135,1135,100.00
20,114,76NHAI31,NA,98,95,96.94
20,115,771GS2066,GS,129820,119995,92.43
20,116,775DL41,SG,100,100,100.00
20,117,777HP49,SG,2800,2500,89.29
20,118,792BR51,SG,100,100,100.00
20,119,795GS2032,GS,200,200,100.00
20,120,797IGT31,NL,175,175,100.00
20,121,797TS43,SG,800,800,100.00
20,122,79NHIT35,N1,50,50,100.00
20,123,79NHIT40,N2,1,1,100.00
20,124,79NHIT47,N3,725,725,100.00
20,125,810IRFC27,N2,100,100,100.00
20,126,81TCHF28,N8,125,125,100.00
20,127,824GS2027,GS,615,615,100.00
20,128,824GS2033,GS,2000,2000,100.00
20,129,82HUDCO27,N2,30,30,100.00
20,130,830NHAI27,N2,713,696,97.62
20,131,832GS2032,GS,202,101,50.00
20,132,840IRFC29,N8,5,5,100.00
20,133,842IIFL26,NL,380,380,100.00
20,134,843IHFL29,NC,38,19,50.00
20,135,855IREDA29,N2,5,5,100.00
20,136,860AEL28,NH,500,497,99.40
20,137,862AEL31,NM,11,11,100.00
20,138,865IFL28,NZ,675,675,100.00
20,139,865IIFL28,NS,338,338,100.00
20,140,865IRFC29,NA,20,20,100.00
20,141,865LTF26,NN,10,10,100.00
20,142,865SCL27,N4,3,3,100.00
20,143,865TCAPS27,N8,11,11,100.00
20,144,871REC28,N9,223,223,100.00
20,145,875AEL29,NK,540,540,100.00
20,146,875NHAI29,N6,440,430,97.73
20,147,875SCL23A,YI,97,97,100.00
20,148,875SFL27,ZF,3,3,100.00
20,149,876HUDCO28,ND,470,470,100.00
20,150,879NHPC28,N5,797,797,100.00
20,151,880IREDA34,N6,100,100,100.00
20,152,885AEL28,NB,25,25,100.00
20,153,885SCL26,N9,3000,3000,100.00
20,154,885TCAPS29,NC,1,1,100.00
20,155,888ECL28,N1,410,406,99.02
20,156,888SCL25E,N4,75,75,100.00
20,157,889SCFL27,YC,29,29,100.00
20,158,890AEL31,NN,25,16,64.00
20,159,891IIFCL34,N4,109,108,99.08
20,160,891NTPC33,N6,176,166,94.32
20,161,892NHPC33,N6,700,700,100.00
20,162,892PFCL33,N8,10,10,100.00
20,163,893NHB29,N6,37,37,100.00
20,164,897GS2030,GS,13236,12236,92.44
20,165,898LTF29,N7,118,118,100.00
20,166,89IHFL29,N1,120,120,100.00
20,167,901HUDCO34,NE,337,288,85.46
20,168,901NHB34,N6,21,21,100.00
20,169,902SCL28,N1,75,75,100.00
20,170,903SFL28,YI,10,10,100.00
20,171,905SCL36,N0,150,150,100.00
20,172,910TCAP28,NA,1,1,100.00
20,173,915AEL28,NC,311,311,100.00
20,174,915APSBC28,N0,1,1,100.00
20,175,915APSBC35,N0,1,1,100.00
20,176,915SCL26,NE,106,106,100.00
20,177,91D121126,TB,500,500,100.00
20,178,91D170926,TB,1000,1000,100.00
20,179,91D221026,TB,4200,4200,100.00
20,180,91D291026,TB,10000,10000,100.00
20,181,925IIFL32A,N0,1,1,100.00
20,182,92GS2030,GS,18736,18736,100.00
20,183,930AEL30,NF,21,20,95.24
20,184,930APMD32,N0,2,2,100.00
20,185,930SFL28,YP,13,13,100.00
20,186,943ECL28,NJ,558,558,100.00
20,187,948SCL26A,NN,1170,1170,100.00
20,188,948SCL27D,N1,3,3,100.00
20,189,957ICCL25,YW,451,451,100.00
20,190,965AEL27,N4,123,118,95.93
20,191,965ISF28,N0,1,1,100.00
20,192,965SCL25F,NZ,20,20,100.00
20,193,96IIFL28,N5,5282,4380,82.92
20,194,96IIFL28A,NF,619,619,100.00
20,195,96SFIL24A,NB,251,251,100.00
20,196,970CAGL28,ND,299,299,100.00
20,197,971SCL30,N1,104,104,100.00
20,198,975ISF28,N0,7,7,100.00
20,199,97SFL29,YZ,200,200,100.00
20,200,985ECL28,NK,520,520,100.00
20,201,990SCL26,N7,15,15,100.00
20,202,995SCL2035,NM,50,50,100.00
20,203,99AEL29,N7,5,5,100.00
20,204,99SCL27V,N1,1525,1000,65.57
20,205,9AEL30,NE,10,10,100.00
20,206,9IIFL31,Y9,150,150,100.00
20,207,9PFL31A,NA,20,20,100.00
20,208,9SCL26BA,NA,60,60,100.00
20,209,A2ZINFRA,EQ,308540,177213,57.44
20,210,AAATECH,EQ,11314,7014,61.99
20,211,AADHARHFC,EQ,197998,99282,50.14
20,212,AAKAAR,SM,11200,9600,85.71
20,213,AAKASH,EQ,139620,104008,74.49
20,214,AARADHYA,SM,398400,386400,96.99
20,215,AAREYDRUGS,EQ,109417,83192,76.03
20,216,AARON,EQ,4376,3242,74.09
20,217,AARTIDRUGS,EQ,250307,115447,46.12
20,218,AARTIIND,EQ,767774,373615,48.66
20,219,AARTIPHARM,EQ,463265,244056,52.68
20,220,AARVI,EQ,7773,5592,71.94
20,221,AASTHA,EQ,228188,119342,52.30
20,222,AATMAJ,SM,2000,2000,100.00
20,223,AAVAS,EQ,60456,30079,49.75
20,224,ABANSENT,EQ,6398,5563,86.95
20,225,ABB,EQ,150500,82551,54.85
20,226,ABBOTINDIA,EQ,8803,3882,44.10
20,227,ABCAPITAL,EQ,2167785,1118270,51.59
20,228,ABCOTS,EQ,4500,2407,53.49
20,229,ABDL,EQ,114222,64248,56.25
20,230,ABFRL,EQ,8157673,2731691,33.49
20,231,ABGSEC,EQ,104,75,72.12
20,232,ABH,ST,138000,136800,99.13
20,233,ABHAPOWER,SM,24000,20800,86.67
20,234,ABLBL,EQ,852050,358640,42.09
20,235,ABMKNO,EQ,556,504,90.65
20,236,ABREL,EQ,68679,24660,35.91
20,237,ABSL10BANK,EQ,156,51,32.69
20,238,ABSLAMC,EQ,127937,65493,51.19
20,239,ABSLBANETF,EQ,61627,50628,82.15
20,240,ABSLLIQUID,EQ,1302,1048,80.49
20,241,ABSLMSCIN,EQ,1070,797,74.49
20,242,ABSLNN50ET,EQ,6022,3774,62.67
20,243,ABSLPSE,EQ,110576,98011,88.64
20,244,ABSMARINE,SM,343500,235000,68.41
20,245,ACC,EQ,101446,50737,50.01
20,246,ACCELYA,EQ,2359,1637,69.39
20,247,ACCENTMIC,SM,56500,26000,46.02
20,248,ACCORD,ST,2000,2000,100.00
20,249,ACCPL,ST,13200,13200,100.00
20,250,ACE,EQ,557111,205879,36.95
20,251,ACEINTEG,EQ,17975,10948,60.91
20,252,ACETEC,SM,1200,1200,100.00
20,253,ACGL,EQ,616,394,63.96
20,254,ACI,EQ,640010,273447,42.73
20,255,ACL,EQ,18265,13792,75.51
20,256,ACMESOLAR,EQ,6203953,2000296,32.24
20,257,ACUTAAS,EQ,149850,90069,60.11
20,258,ADANIENSOL,EQ,1386991,620353,44.73
20,259,ADANIENT,EQ,1060844,346901,32.70
20,260,ADANIGREEN,EQ,768437,277347,36.09
20,261,ADANIPORTS,EQ,1281968,753346,58.76
20,262,ADANIPOWER,EQ,9328145,3318652,35.58
20,263,ADDICTIVE,SM,8500,8500,100.00
20,264,ADDIND,EQ,486,319,65.64
20,265,ADFFOODS,EQ,78833,38525,48.87
20,266,ADISOFT,SM,49600,43200,87.10
20,267,ADL,EQ,757,520,68.69
20,268,ADOR,EQ,26990,14544,53.89
20,269,ADROITINFO,EQ,10874,8809,81.01
20,270,ADSL,EQ,63640,31961,50.22
20,271,ADVAIT,EQ,66736,33378,50.01
20,272,ADVANCE,EQ,118344,80075,67.66
20,273,ADVANIHOTR,EQ,22126,16474,74.46
20,274,ADVENTHTL,EQ,78410,49285,62.86
20,275,ADVENZYMES,EQ,257142,151360,58.86
20,276,ADVIKCA,EQ,329513,230445,69.94
20,277,AEGISLOG,EQ,665965,255280,38.33
20,278,AEGISVOPAK,EQ,788218,330990,41.99
20,279,AEL120924A,N5,31,31,100.00
20,280,AEL170725,ND,35,35,100.00
20,281,AEL170725A,NG,100,100,100.00
20,282,AEPL,EQ,170886,86698,50.73
20,283,AEQUS,EQ,1802739,964333,53.49
20,284,AEROENTER,EQ,477542,240198,50.30
20,285,AEROFLEX,EQ,1026759,335625,32.69
20,286,AERON,SM,25000,23000,92.00
20,287,AERONEU,EQ,80348,11703,14.57
20,288,AEROPLANE,EQ,724408,386737,53.39
20,289,AESTHETIK,SM,6000,3000,50.00
20,290,AETHER,EQ,205632,107979,52.51
20,291,AFCONS,EQ,400459,210521,52.57
20,292,AFFLE,EQ,3213241,585581,18.22
20,293,AFFORDABLE,EQ,21622,15416,71.30
20,294,AFIL,EQ,579665,463317,79.93
20,295,AFSL,EQ,9724,8155,83.86
20,296,AGARIND,EQ,56050,30978,55.27
20,297,AGARWALEYE,EQ,81568,41799,51.24
20,298,AGARWALTUF,SM,48000,38400,80.00
20,299,AGI,EQ,98049,52188,53.23
20,300,AGIIL,EQ,261176,121779,46.63
20,301,AGL,EQ,978529,548261,56.03
20,302,AGRITECH,EQ,3474,2959,85.18
20,303,AGROPHOS,EQ,12923,10375,80.28
20,304,AHCL,EQ,2049674,962104,46.94
20,305,AHIMSA,ST,231000,231000,100.00
20,306,AHLADA,EQ,11371,8186,71.99
20,307,AHLEAST,EQ,987,182,18.44
20,308,AHLUCONT,EQ,225666,148758,65.92
20,309,AIAENG,EQ,117943,107862,91.45
20,310,AIIL,EQ,145614,71404,49.04
20,311,AILIMITED,SM,9000,9000,100.00
20,312,AIMTRON,SM,18600,15200,81.72
20,313,AIRAN,EQ,208770,159101,76.21
20,314,AIROLAM,EQ,797,625,78.42
20,315,AISL,SM,45000,42000,93.33
20,316,AJANTPHARM,EQ,65346,41013,62.76
20,317,AJAXENGG,EQ,74192,35477,47.82
20,318,AJMERA,EQ,443302,219201,49.45
20,319,AJOONI,EQ,147021,99004,67.34
20,320,AKANKSHA,SM,55000,46000,83.64
20,321,AKASH,EQ,5520,3830,69.38
20,322,AKCAPIT,EQ,674,569,84.42
20,323,AKG,EQ,37356,28005,74.97
20,324,AKI,EQ,258805,258795,100.00
20,325,AKIKO,SM,27200,24000,88.24
20,326,AKSHAR,EQ,1110421,673032,60.61
20,327,AKUMS,EQ,338753,174108,51.40
20,328,ALANKIT,EQ,76587,62157,81.16
20,329,ALBERTDAVD,EQ,3339,2621,78.50
