Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,17092026,1471321884,0003390
Trade Date <17-SEP-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1003ISFL28,N4,155,155,100.00
20,2,1003SFIL28,NX,24,24,100.00
20,3,1015ECL29,NR,1728,1728,100.00
20,4,1015SCFL29,YY,25,25,100.00
20,5,1015SCL28A,AL,12,2,16.67
20,6,1025SCL34,Z8,1,1,100.00
20,7,1025UCL27A,NG,55,55,100.00
20,8,1025VCCL28,N0,6,6,100.00
20,9,1039UCL26,NE,66,66,100.00
20,10,1040UCL27B,N1,2,2,100.00
20,11,1050ASPL27,N0,1,1,100.00
20,12,1050UCL28,NH,80,80,100.00
20,13,105IIFL29,N7,51,51,100.00
20,14,1075SCFL34,Z6,10,10,100.00
20,15,1075WCA28,N0,1,1,100.00
20,16,10IIFL28,N4,407,407,100.00
20,17,10IIFL29,N6,300,300,100.00
20,18,10IIFLSF27,NB,2,1,50.00
20,19,10ISFL26,N3,120,117,97.50
20,20,10UCL26,ND,65,65,100.00
20,21,113ESFB31,N0,2,2,100.00
20,22,115AFIL28A,N0,8,8,100.00
20,23,115VCCL31A,N0,10,10,100.00
20,24,125VCCL31,N0,3,3,100.00
20,25,12AFIL27,N0,10,10,100.00
20,26,12AFIL27A,N0,5,5,100.00
20,27,12VCCL27,N0,1,1,100.00
20,28,12VCCL29B,N0,2,2,100.00
20,29,182D070127,TB,100,100,100.00
20,30,182D110327,TB,1200,600,50.00
20,31,20MICRONS,EQ,56895,25090,44.10
20,32,21STCENMGM,EQ,4772,4610,96.61
20,33,360ONE,EQ,442034,243187,55.02
20,34,364D150727,TB,200,100,50.00
20,35,364D231026,TB,1000,1000,100.00
20,36,364D250227,TB,200,100,50.00
20,37,364D280527,TB,400,200,50.00
20,38,3BBLACKBIO,EQ,5794,3334,57.54
20,39,3MINDIA,EQ,2039,753,36.93
20,40,3PLAND,EQ,1763,1391,78.90
20,41,5PAISA,EQ,21052,10244,48.66
20,42,603GS2029,GS,1300,1300,100.00
20,43,610GS2031,GS,1,1,100.00
20,44,619GS2034,GS,2,2,100.00
20,45,620GS2029,GS,1000,1000,100.00
20,46,633GS2035,GS,1,1,100.00
20,47,636GS2031,GS,2650,2650,100.00
20,48,63MOONS,EQ,268694,98330,36.60
20,49,648GS2035,GS,515,515,100.00
