Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,27082026,1817470063,0003352
Trade Date <27-AUG-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,3326,YASHOPTICS,SM,4000,4000,100.00
20,3327,YATHARTH,EQ,684457,311949,45.58
20,3328,YATRA,EQ,779798,417355,53.52
20,3329,YESBANK,EQ,40844488,18274822,44.74
20,3330,YOGI,EQ,965,965,100.00
20,3331,YUDIZ,SM,1600,1600,100.00
20,3332,YUKEN,EQ,8665,6247,72.09
20,3333,ZAGGLE,EQ,1804121,515270,28.56
20,3334,ZEAL,SM,1800,1800,100.00
20,3335,ZEEL,EQ,24740990,6148764,24.85
20,3336,ZEEMEDIA,EQ,2989191,1703540,56.99
20,3337,ZENITHDRUG,SM,4000,3200,80.00
20,3338,ZENITHSTL,EQ,60821,49908,82.06
20,3339,ZENSARTECH,EQ,526320,236806,44.99
20,3340,ZENTEC,EQ,281461,127817,45.41
20,3341,ZFCVINDIA,EQ,65894,37947,57.59
20,3342,ZFSTEERING,EQ,1786,1624,90.93
20,3343,ZIMLAB,EQ,40646,25120,61.80
20,3344,ZODIAC,EQ,10402,5453,52.42
20,3345,ZODIACLOTH,EQ,3734,2404,64.38
20,3346,ZOTA,EQ,34014,19142,56.28
20,3347,ZSARACOM,EQ,44,44,100.00
20,3348,ZTECH,SM,32400,20700,63.89
20,3349,ZUARI,EQ,57189,30010,52.48
20,3350,ZUARIIND,EQ,49782,26009,52.25
20,3351,ZYDUSLIFE,EQ,3168135,1572472,49.63
20,3352,ZYDUSWELL,EQ,208254,108313,52.01
