Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,11092026,1772614198,0003333
Trade Date <11-SEP-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1015ECL29,NR,43,43,100.00
20,2,1025PATE28,N0,2,2,100.00
20,3,1025SCL35A,N1,41,41,100.00
20,4,105IIFL29,N7,2,2,100.00
20,5,1060ECL29,NS,59,59,100.00
20,6,1065NFL27,NC,467,467,100.00
20,7,1075SCL33,YK,85,85,100.00
20,8,1075SCL33A,N2,134,78,58.21
20,9,10CAGL27,N5,54,27,50.00
20,10,10IIFL28,N4,56,53,94.64
20,11,10IIFL28A,NE,894,894,100.00
20,12,10IIFL29,N6,13,11,84.62
20,13,10MWL29,N0,5,5,100.00
20,14,1119NFL27,ND,2,1,50.00
20,15,118VCCL27A,N0,5,5,100.00
20,16,11VCCL27,N0,5,5,100.00
20,17,1275DCCL28,N0,25,25,100.00
20,18,12AFIL27,N0,8,8,100.00
20,19,12AFIL28,N0,20,20,100.00
20,20,12VCCL27,N0,3,3,100.00
20,21,12VCCL28,N0,2,2,100.00
20,22,12VCCL29B,N0,2,2,100.00
20,23,12VPT28,N0,7,7,100.00
20,24,182D140127,TB,100,100,100.00
20,25,20MICRONS,EQ,135918,65325,48.06
20,26,21STCENMGM,EQ,112,103,91.96
20,27,360ONE,EQ,766238,413109,53.91
20,28,364D031226,TB,100,100,100.00
20,29,364D170926,TB,130000,130000,100.00
20,30,3BBLACKBIO,EQ,17222,9799,56.90
20,31,3MINDIA,EQ,1283,637,49.65
20,32,3PLAND,EQ,17600,13152,74.73
20,33,574GS2026,GS,1,1,100.00
20,34,5PAISA,EQ,28945,17102,59.08
20,35,603GS2029,GS,200,200,100.00
20,36,610GS2031,GS,40,14,35.00
20,37,620GS2029,GS,311,311,100.00
20,38,636GS2031,GS,515382,515382,100.00
20,39,63MOONS,EQ,1262014,277747,22.01
20,40,648GS2035,GS,1858,1768,95.16
20,41,662GS2051,GS,10,10,100.00
20,42,667GS2050,GS,2,2,100.00
20,43,668GS2033,GS,200,200,100.00
20,44,668GS2040,GS,2000000,2000000,100.00
20,45,676GS2061,GS,48563,47439,97.69
20,46,68GS2060,GS,1800,1800,100.00
20,47,690GS2065,GS,8497,8497,100.00
