Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,02092026,1745527705,0003369
Trade Date <02-SEP-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0SCL27,YW,100,100,100.00
20,2,1003SFIL28,NX,48,2,4.17
20,3,1015ECL29,NR,370,368,99.46
20,4,1018GS2026,GS,16,16,100.00
20,5,1025SCL34A,ZT,1,1,100.00
20,6,1025VCCL28,N0,3,3,100.00
20,7,1040UCL27B,N1,12,12,100.00
20,8,1050UCL28,NH,270,270,100.00
20,9,1060ECL29,NS,82,81,98.78
20,10,1065NFL27,NC,300,300,100.00
20,11,1075SCL33A,N2,50,50,100.00
20,12,1075WCA28,N0,40,40,100.00
20,13,10CAGL27,N5,116,116,100.00
20,14,10IIFL28,N4,619,542,87.56
20,15,10IIFL28A,NE,460,460,100.00
20,16,10ISFL26,N3,295,295,100.00
20,17,10MWL29,N0,1,1,100.00
20,18,1119NFL27,ND,90,60,66.67
20,19,113ESFB31,N0,1,1,100.00
20,20,1150AFIL29,N0,5,5,100.00
20,21,125VCCL31,N0,6,6,100.00
20,22,12AFIL27,N0,3,3,100.00
20,23,12AFIL28,N0,3,3,100.00
20,24,20MICRONS,EQ,90223,39404,43.67
20,25,21STCENMGM,EQ,5812,5284,90.92
20,26,360ONE,EQ,666823,356593,53.48
20,27,364D031226,TB,15100,15100,100.00
20,28,364D060527,TB,67000,67000,100.00
20,29,364D170926,TB,7000,7000,100.00
20,30,3BBLACKBIO,EQ,50928,28458,55.88
20,31,3MINDIA,EQ,1858,1164,62.65
20,32,3PLAND,EQ,911,876,96.16
20,33,574GS2026,GS,1,1,100.00
20,34,591GS2028,GS,3760,3760,100.00
20,35,5PAISA,EQ,26993,15611,57.83
20,36,601GS2030,GS,100,100,100.00
20,37,603GS2029,GS,5000,5000,100.00
20,38,610GS2031,GS,3003,1502,50.02
20,39,620GS2029,GS,1056,1055,99.91
20,40,628GS2032,GS,9349,9349,100.00
20,41,636GS2031,GS,1,1,100.00
20,42,63MOONS,EQ,444235,194725,43.83
20,43,645GS2029,GS,1,1,100.00
20,44,667GS2050,GS,5339,5339,100.00
20,45,668GS2040,GS,442,442,100.00
20,46,676GS2061,GS,125937,122033,96.90
20,47,690GS2065,GS,101928,101024,99.11
20,48,692GS2039,GS,110,110,100.00
20,49,694GS2036,GS,1300,1300,100.00
20,50,695GS2061,GS,6901,6901,100.00
20,51,698GR2054,GS,100,100,100.00
20,52,702GS2027,GS,2010,2010,100.00
20,53,706GS2028,GS,4560,4560,100.00
20,54,706GS2041,GS,6775,6775,100.00
20,55,709GS2054,GS,11163,11162,99.99
20,56,709GS2074,GS,9285,8775,94.51
20,57,710GS2029,GS,25148,25148,100.00
20,58,716GS2050,GS,450,450,100.00
