Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,01092026,1896048543,0003394
Trade Date <01-SEP-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,3136,TRACXN,EQ,81017,67412,83.21
20,3137,TRANSCOR,EQ,2957,2642,89.35
20,3138,TRANSRAILL,EQ,443956,212824,47.94
20,3139,TRANSTEEL,SM,945000,607000,64.23
20,3140,TRAVELFOOD,EQ,36333,21850,60.14
20,3141,TREEHOUSE,EQ,13337,11837,88.75
20,3142,TREJHARA,EQ,15504,9656,62.28
20,3143,TREL,EQ,120235,70953,59.01
20,3144,TRENT,EQ,652244,325635,49.93
20,3145,TRF,EQ,10501,7719,73.51
20,3146,TRIDENT,EQ,2210879,1033190,46.73
20,3147,TRIDHYA,ST,9000,9000,100.00
20,3148,TRIGYN,EQ,42098,22732,54.00
20,3149,TRITONV,EQ,1127,738,65.48
20,3150,TRITURBINE,EQ,259156,121155,46.75
20,3151,TRIVENI,EQ,713346,334729,46.92
20,3152,TROM,SM,5400,5400,100.00
20,3153,TRU,EQ,223030,174548,78.26
20,3154,TRUALT,EQ,80033,45275,56.57
20,3155,TRUST,SM,90000,84600,94.00
20,3156,TSC,ST,30000,30000,100.00
20,3157,TSFINV,EQ,38217,18422,48.20
20,3158,TTKHLTCARE,EQ,44525,20629,46.33
20,3159,TTKPRESTIG,EQ,27738,14555,52.47
20,3160,TTL,EQ,207325,132327,63.83
20,3161,TTML,EQ,2317300,784602,33.86
20,3162,TUNWAL,SM,30000,24000,80.00
20,3163,TURTLEMINT,EQ,1557779,532242,34.17
20,3164,TUTIALKA,EQ,16522,12531,75.84
20,3165,TVSELECT,EQ,23430,11281,48.15
20,3166,TVSHLTD,EQ,4052,2511,61.97
20,3167,TVSMOTOR,EQ,1908970,764193,40.03
20,3168,TVSSCS,EQ,722014,314536,43.56
20,3169,TVSSRICHAK,EQ,56740,11904,20.98
20,3170,TVTODAY,EQ,26044,16681,64.05
20,3171,TWCGOLDETF,EQ,42681,42592,99.79
20,3172,UBL,EQ,64290,27957,43.49
20,3173,UCOBANK,EQ,3061545,1546401,50.51
20,3174,UDAYJEW,EQ,1859,1635,87.95
20,3175,UDS,EQ,701552,270572,38.57
20,3176,UEL,EQ,4228,4218,99.76
20,3177,UFLEX,EQ,191079,85668,44.83
20,3178,UFO,EQ,18235,14129,77.48
20,3179,UGARSUGAR,EQ,282554,110628,39.15
20,3180,UGROCAP,EQ,237009,131934,55.67
20,3181,UHTL,ST,22000,22000,100.00
20,3182,UJJIVANSFB,EQ,18034062,9864703,54.70
20,3183,ULTRACEMCO,EQ,168152,94343,56.11
20,3184,ULTRAMAR,EQ,76866,36841,47.93
20,3185,UMA,SM,8000,4000,50.00
20,3186,UMESLTD,EQ,206608,153997,74.54
20,3187,UMIYA-MRO,EQ,56621,48582,85.80
20,3188,UNICHEMLAB,EQ,192598,51876,26.93
20,3189,UNIECOM,EQ,273681,165700,60.54
20,3190,UNIENTER,EQ,3832,2580,67.33
20,3191,UNIHEALTH,SM,7000,5500,78.57
20,3192,UNIINFO,EQ,133,133,100.00
20,3193,UNIMECH,EQ,97827,40702,41.61
20,3194,UNIONBANK,EQ,7002385,2931304,41.86
20,3195,UNIONGOLD,EQ,52992,52139,98.39
20,3196,UNIPARTS,EQ,309191,132034,42.70
20,3197,UNITDSPR,EQ,392270,215494,54.94
20,3198,UNITECH,EQ,3375328,1940701,57.50
20,3199,UNITEDPOLY,EQ,24788,16509,66.60
20,3200,UNITEDTEA,EQ,1810,1555,85.91
20,3201,UNIVCABLES,EQ,123506,52650,42.63
20,3202,UNOMINDA,EQ,1489864,714363,47.95
20,3203,UPL,EQ,4060300,458627,11.30
20,3204,URBAN,SM,27200,20800,76.47
20,3205,URBANCO,EQ,9793184,3373443,34.45
20,3206,URJA,EQ,674664,469648,69.61
20,3207,USASEEDS,SM,856,428,50.00
20,3208,USHAFIN,SM,17600,17600,100.00
20,3209,USHAMART,EQ,4066851,2574307,63.30
20,3210,USK,EQ,13755,11098,80.68
20,3211,UTIAMC,EQ,111748,62725,56.13
20,3212,UTKAL,SM,10000,8000,80.00
20,3213,UTKARSHBNK,EQ,11395283,4683930,41.10
20,3214,UTLSOLAR,EQ,391161,190556,48.72
20,3215,UTSSAV,ST,8400,7800,92.86
20,3216,UTTAMSUGAR,EQ,227336,80450,35.39
20,3217,UWCSL,SM,1000,1000,100.00
20,3218,V2RETAIL,EQ,811500,413347,50.94
20,3219,VADILALIND,EQ,12966,4836,37.30
20,3220,VADILENT,EQ,118,96,81.36
20,3221,VAIBHAVGBL,EQ,281014,127372,45.33
20,3222,VAISHALI,EQ,188407,167586,88.95
20,3223,VAKRANGEE,EQ,902060,490925,54.42
20,3224,VAL30IETF,EQ,382469,204903,53.57
20,3225,VALUE,EQ,44698,44198,98.88
20,3226,VALUE360,SM,3600,3600,100.00
20,3227,VALUEAXIS,EQ,37622,23773,63.19
20,3228,VAML,EQ,4259790,2573453,60.41
20,3229,VARDMNPOLY,EQ,187316,163872,87.48
20,3230,VARROC,EQ,905636,383429,42.34
20,3231,VASA,SM,8000,8000,100.00
20,3232,VASCONEQ,EQ,320857,129917,40.49
20,3233,VASWANI,EQ,21922,18550,84.62
20,3234,VBL,EQ,4752656,2375334,49.98
20,3235,VEDAVAAG,EQ,8632,7963,92.25
20,3236,VEDL,EQ,6769011,2813442,41.56
20,3237,VEDPOWER,EQ,8570993,4634163,54.07
20,3238,VEEDOL,EQ,14786,7494,50.68
20,3239,VEEKAYEM,SM,7000,3500,50.00
20,3240,VENKEYS,EQ,92772,32920,35.48
20,3241,VENTIVE,EQ,8585,5650,65.81
20,3242,VENUSPIPES,EQ,97764,62423,63.85
20,3243,VERANDA,EQ,301874,191813,63.54
20,3244,VERTIS,IV,25000,25000,100.00
20,3245,VERTOZ,EQ,108384,83549,77.09
20,3246,VESUVIUS,EQ,57399,34548,60.19
20,3247,VGCL,EQ,993,694,69.89
20,3248,VGINFOTECH,SM,12000,10000,83.33
20,3249,VGL,EQ,10442,8616,82.51
20,3250,VGUARD,EQ,1150095,653709,56.84
20,3251,VHL,EQ,1028,581,56.52
20,3252,VIAZ,SM,6000,6000,100.00
20,3253,VICTORYEV,SM,24000,21000,87.50
20,3254,VIDHIING,EQ,24851,13131,52.84
20,3255,VIDYAWIRES,EQ,1204812,486968,40.42
20,3256,VIESL,SM,91200,68800,75.44
20,3257,VIGOR,ST,8000,4800,60.00
20,3258,VIJAYA,EQ,108054,52930,48.98
20,3259,VIJAYPD,SM,18000,18000,100.00
20,3260,VIJSOLX,EQ,879,854,97.16
20,3261,VIKASECO,EQ,1566868,826564,52.75
20,3262,VIKASLIFE,EQ,2948799,1546061,52.43
20,3263,VIKRAMSOLR,EQ,1232401,415412,33.71
20,3264,VIKRAN,EQ,987122,434768,44.04
20,3265,VILAS,SM,16000,12250,76.56
20,3266,VILINBIO,SM,56000,48000,85.71
20,3267,VIMTALABS,EQ,476672,141093,29.60
20,3268,VINATIORGA,EQ,26764,15148,56.60
20,3269,VINCOFE,EQ,5357803,1844454,34.43
20,3270,VINDHYATEL,EQ,166929,50836,30.45
20,3271,VINEETLAB,EQ,319286,261481,81.90
20,3272,VINNY,EQ,282917,278197,98.33
20,3273,VINSYS,ST,1250,1250,100.00
20,3274,VINYAS,SM,6200,4900,79.03
20,3275,VINYLINDIA,EQ,4470,3208,71.77
20,3276,VIPCLOTHNG,EQ,38056,36817,96.74
20,3277,VIPIND,EQ,324758,179754,55.35
20,3278,VIRAT,EQ,3974,2007,50.50
20,3279,VIRINCHI,EQ,69549,53028,76.25
20,3280,VIRTUALG,EQ,662628,576823,87.05
20,3281,VISACHROME,EQ,61321,47446,77.37
20,3282,VISAKAIND,EQ,350175,173625,49.58
20,3283,VISAMAN,SM,1000,1000,100.00
20,3284,VISDEM,SM,4800,4800,100.00
20,3285,VISHAL,EQ,26319,24602,93.48
20,3286,VISHNU,EQ,321563,155499,48.36
20,3287,VISHNUINFR,SM,5000,3500,70.00
20,3288,VISHWARAJ,EQ,342404,231386,67.58
20,3289,VISL,EQ,17252606,10075593,58.40
20,3290,VITAL,EQ,16548,15764,95.26
20,3291,VIVIDEL,SM,18480,12720,68.83
20,3292,VIVIDHA,EQ,207037,116783,56.41
20,3293,VIVO,ST,1600,1600,100.00
20,3294,VIVOBIOT,EQ,20797,15385,73.98
20,3295,VIYASH,EQ,6105032,3354422,54.95
20,3296,VLSFINANCE,EQ,5750,4168,72.49
20,3297,VMARCIND,SM,586500,253500,43.22
20,3298,VMART,EQ,70031,34265,48.93
20,3299,VMM,EQ,13963729,6011440,43.05
20,3300,VMOBILE,SM,6400,5600,87.50
20,3301,VMSTMT,EQ,88191,17719,20.09
20,3302,VOEPL,EQ,70808,31370,44.30
20,3303,VOGL,EQ,26408861,11144197,42.20
20,3304,VOITHPAPR,EQ,444,413,93.02
20,3305,VOLERCAR,SM,19200,14400,75.00
20,3306,VOLTAMP,EQ,34032,15915,46.76
20,3307,VOLTAS,EQ,288979,140498,48.62
20,3308,VPRPL,EQ,332465,160881,48.39
20,3309,VR,SM,400,400,100.00
20,3310,VRAJ,EQ,15905,9970,62.68
20,3311,VRLLOG,EQ,182492,108827,59.63
20,3312,VSSL,EQ,73449,44260,60.26
20,3313,VSTIND,EQ,102571,64021,62.42
20,3314,VSTL,EQ,13675,10395,76.01
20,3315,VSTTILLERS,EQ,17118,7542,44.06
20,3316,VTL,EQ,26383732,1552050,5.88
20,3317,VTMLTD,EQ,100555,86726,86.25
20,3318,WAAREEENER,EQ,305178,130644,42.81
20,3319,WAAREEINDO,EQ,78190,40019,51.18
20,3320,WAAREERTL,EQ,65192,33361,51.17
20,3321,WABAG,EQ,417528,169449,40.58
20,3322,WAKEFIT,EQ,1515330,553506,36.53
20,3323,WALCHANNAG,EQ,456644,209842,45.95
20,3324,WALPAR,SM,30000,28000,93.33
20,3325,WANBURY,EQ,102090,48545,47.55
20,3326,WARDINMOBI,EQ,310743,244300,78.62
20,3327,WATERBASE,EQ,9658,6508,67.38
20,3328,WCIL,EQ,55877,36852,65.95
20,3329,WEALTH,EQ,1027,880,85.69
20,3330,WEBELSOLAR,EQ,1910222,1088071,56.96
20,3331,WEIZMANIND,EQ,90,89,98.89
20,3332,WEL,EQ,8230670,3723495,45.24
20,3333,WELCORP,EQ,3607692,1076268,29.83
20,3334,WELENT,EQ,611674,286642,46.86
20,3335,WELSPLSOL,EQ,685725,300522,43.83
20,3336,WELSPUNLIV,EQ,5094353,1703806,33.44
20,3337,WENDT,EQ,4525,2804,61.97
20,3338,WESTLIFE,EQ,71248,26358,36.99
20,3339,WEWIN,EQ,1754,1746,99.54
20,3340,WEWORK,EQ,314155,181218,57.68
20,3341,WHBRADY,EQ,15,15,100.00
20,3342,WHEELS,EQ,101005,56187,55.63
20,3343,WHIRLPOOL,EQ,349162,172086,49.29
20,3344,WHITEFORCE,SM,4800,4800,100.00
20,3345,WILLAMAGOR,EQ,1456,1263,86.74
20,3346,WINDLAS,EQ,45866,24412,53.22
20,3347,WINDMACHIN,EQ,46819,24885,53.15
20,3348,WINSOL,SM,4000,3200,80.00
20,3349,WIPL,EQ,363,206,56.75
20,3350,WIPRO,EQ,6813425,2875650,42.21
20,3351,WOCKPHARMA,EQ,507087,257493,50.78
20,3352,WOL3D,SM,15000,14000,93.33
20,3353,WOMANCART,ST,30800,26400,85.71
20,3354,WONDERLA,EQ,47864,27955,58.41
20,3355,WORTHPERI,EQ,4654,2183,46.91
20,3356,WPIL,EQ,16178,9475,58.57
20,3357,WSI,EQ,11186,7127,63.71
20,3358,WSTCSTPAPR,EQ,531616,255918,48.14
20,3359,WTICAB,SM,19000,13500,71.05
20,3360,XCHANGING,EQ,34232,24548,71.71
20,3361,XELPMOC,EQ,5140,3592,69.88
20,3362,XPROINDIA,EQ,32069,17136,53.43
20,3363,XTGLOBAL,EQ,63291,16016,25.31
20,3364,XTRANET,EQ,924415,270666,29.28
20,3365,YAAP,SM,18000,11000,61.11
20,3366,YASHO,EQ,17171,7197,41.91
20,3367,YASHOPTICS,SM,14400,13600,94.44
20,3368,YATHARTH,EQ,373081,167951,45.02
20,3369,YATRA,EQ,6077899,1954979,32.17
20,3370,YESBANK,EQ,63872649,31191445,48.83
20,3371,YOGI,EQ,819,814,99.39
20,3372,YUDIZ,SM,4000,4000,100.00
20,3373,YUKEN,EQ,9346,5706,61.05
