Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,18092026,2376932903,0003383
Trade Date <18-SEP-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1003ISFL28,N4,364,314,86.26
20,2,1003SFIL28,NX,30,30,100.00
20,3,1015ECL29,NR,171,171,100.00
20,4,1015SCFL29,YY,85,85,100.00
20,5,1015SCL28A,AL,58,58,100.00
20,6,1015SCL29,ZL,17,17,100.00
20,7,1025PATE28,N0,1,1,100.00
20,8,1025SCL34,Z8,10,10,100.00
20,9,1025UCL26A,N1,16,16,100.00
20,10,1025UCL27A,NG,48,48,100.00
20,11,1030SFIL28,NM,48,48,100.00
20,12,1039UCL26,NE,46,46,100.00
20,13,1050ASPL27,N0,1,1,100.00
20,14,105IIFL29,N7,20,20,100.00
20,15,1060ECL29,NS,165,100,60.61
20,16,1065NFL27,NC,10,10,100.00
20,17,1075WCA28,N0,7,7,100.00
20,18,10IIFL28,N4,750,750,100.00
20,19,10IIFL28A,NE,500,500,100.00
20,20,10IIFL29,N6,199,199,100.00
20,21,10ISFL26,N3,70,70,100.00
20,22,1119NFL27,ND,287,287,100.00
20,23,1125AFIL29,N0,40,20,50.00
20,24,113ESFB31,N0,5,5,100.00
20,25,1150AFIL29,N0,2,2,100.00
20,26,1165ESFB32,N0,2,2,100.00
20,27,1225IFL27,N0,5,5,100.00
20,28,1225IFL28,N0,4,4,100.00
20,29,125VCCL31,N0,5,5,100.00
20,30,12AFIL27,N0,2,2,100.00
20,31,12AFIL28,N0,89,55,61.80
20,32,182D070127,TB,100,100,100.00
20,33,20MICRONS,EQ,45744,21567,47.15
20,34,21STCENMGM,EQ,135,69,51.11
20,35,360ONE,EQ,519067,347735,66.99
20,36,364D120827,TB,100,100,100.00
20,37,3BBLACKBIO,EQ,6766,4905,72.49
20,38,3MINDIA,EQ,8040,4207,52.33
20,39,3PLAND,EQ,721,513,71.15
20,40,574GS2026,GS,1,1,100.00
20,41,577GS2030,GS,100,100,100.00
20,42,585GS2030,GS,1000000,1000000,100.00
20,43,5PAISA,EQ,21347,11667,54.65
20,44,601GS2030,GS,100,100,100.00
20,45,610GS2031,GS,1,1,100.00
20,46,620GS2029,GS,1,1,100.00
20,47,622GS2035,GS,52,25,48.08
20,48,636GS2031,GS,1602,1602,100.00
20,49,63MOONS,EQ,231331,94610,40.90
