Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,08092026,1784405630,0003386
Trade Date <08-SEP-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1003IIFL29,NC,98,98,100.00
20,2,1015ECL29,NR,381,356,93.44
20,3,1015SCFL29,YY,1,1,100.00
20,4,1015SCL28B,AZ,12,11,91.67
20,5,1015SCL29B,N1,600,600,100.00
20,6,1018GS2026,GS,2520,1918,76.11
20,7,1025SCL34A,ZT,60,60,100.00
20,8,1030SFIL28,NM,8,8,100.00
20,9,1050ISFL28,N5,10,10,100.00
20,10,1050UCL28,NH,1002,1001,99.90
20,11,1060ECL29,NS,166,166,100.00
20,12,1065NFL27,NC,100,100,100.00
20,13,1075SCL33,YK,120,120,100.00
20,14,1075SCL33A,N2,6,6,100.00
20,15,1075WCA28,N0,64,56,87.50
20,16,1075WCAP28,N0,2,2,100.00
20,17,10IIFL28,N4,501,500,99.80
20,18,10IIFL28A,NE,195,195,100.00
20,19,10ISFL26,N3,46,46,100.00
20,20,10MWL29,N0,10,10,100.00
20,21,10UCL26,ND,100,100,100.00
20,22,1125AFIL29,N0,2,2,100.00
20,23,115VCCL31A,N0,2,2,100.00
20,24,1225DCCL27,N0,2,2,100.00
20,25,1225IFL27,N0,2,2,100.00
20,26,1225IFL28,N0,2,2,100.00
20,27,1275DCCL28,N0,10,10,100.00
20,28,12AFIL27,N0,5,5,100.00
20,29,12AFIL27A,N0,99,99,100.00
20,30,12AFIL28,N0,60,60,100.00
20,31,182D180926,TB,1200,1200,100.00
20,32,20MICRONS,EQ,108144,51376,47.51
20,33,21STCENMGM,EQ,4103,3690,89.93
20,34,360ONE,EQ,1123388,646866,57.58
20,35,364D290727,TB,100,100,100.00
20,36,3BBLACKBIO,EQ,26241,12891,49.13
20,37,3MINDIA,EQ,2158,993,46.01
20,38,3PLAND,EQ,3698,3642,98.49
20,39,574GS2026,GS,61,61,100.00
20,40,585GS2030,GS,11,11,100.00
20,41,5PAISA,EQ,16944,8713,51.42
20,42,603GS2029,GS,4995,4995,100.00
20,43,610GS2031,GS,565,500,88.50
20,44,620GS2029,GS,300,300,100.00
20,45,633GS2035,GS,1112,1112,100.00
20,46,636GS2031,GS,2500,2500,100.00
20,47,63MOONS,EQ,536543,243185,45.32
20,48,648GS2035,GS,100,100,100.00
20,49,654GS2032,GS,308,308,100.00
20,50,657GS2033A,GS,22,22,100.00
20,51,664TN29,SG,100,100,100.00
20,52,667GS2035,GS,100,100,100.00
20,53,667GS2050,GS,502,502,100.00
20,54,668GS2033,GS,100,100,100.00
20,55,668GS2040,GS,200,200,100.00
20,56,676GS2061,GS,57315,57313,100.00
20,57,679GS2034,GS,3000,3000,100.00
20,58,679GS2034A,GS,101,101,100.00
20,59,68GS2060,GS,250,250,100.00
20,60,690GS2065,GS,4574,4573,99.98
20,61,694GS2036,GS,1400,1200,85.71
20,62,695GS2061,GS,1024,1012,98.83
20,63,698GR2054,GS,2,2,100.00
20,64,699GS2051,GS,27,27,100.00
20,65,702GS2027,GS,75,75,100.00
20,66,702GS2031,GS,1800,1800,100.00
20,67,706GS2028,GS,37160,20230,54.44
20,68,706GS2046,GS,3150,3150,100.00
20,69,709GS2054,GS,2276,1706,74.96
20,70,709GS2074,GS,1111,1095,98.56
20,71,710GS2029,GS,10600,10600,100.00
20,72,717GS2028,GS,2376,2376,100.00
20,73,717GS2030,GS,2128,2128,100.00
20,74,718GS2037,GS,37767,32767,86.76
20,75,719GS2060,GS,2,2,100.00
20,76,71GS2034,GS,10,10,100.00
20,77,723GS2039,GS,400,400,100.00
20,78,724GS2055,GS,104264,103863,99.62
20,79,725GS2063,GS,90321,83554,92.51
20,80,726GS2032,GS,2205,2205,100.00
20,81,730PFCL41,NC,12,12,100.00
20,82,732GS2030,GS,1100,1100,100.00
20,83,734GS2064,GS,126738,109811,86.64
20,84,734IRFC28,N4,11,10,90.91
20,85,736GS2052,GS,4700,4700,100.00
20,86,737CG31,SG,100,100,100.00
20,87,737GS2028,GS,563,563,100.00
20,88,737NTPC35C,NA,35,35,100.00
20,89,738GS2027,GS,23020,16009,69.54
20,90,73GS2053,GS,23098,23098,100.00
20,91,741GS2036,GS,201,201,100.00
20,92,743GS2076,GS,33104,33104,100.00
20,93,746GS2073,GS,9497,9497,100.00
20,94,746UP34,SG,100,100,100.00
20,95,749TN36,SG,300,300,100.00
20,96,74GS2035,GS,1800,1800,100.00
20,97,74GS2062,GS,7,7,100.00
20,98,750GS2056,GS,1489,1489,100.00
20,99,750IRFC35,NK,100,100,100.00
20,100,753IRFC30,NJ,158,158,100.00
20,101,754GS2036,GS,317170,314670,99.21
20,102,754TS53,SG,100,100,100.00
20,103,762NTPC35F,ND,157,157,100.00
20,104,764HUDCO31,N8,3,3,100.00
20,105,764IRFC31,NO,1534,1525,99.41
20,106,764NABAR31,N2,2660,2660,100.00
20,107,769HUDCO31,N9,426,416,97.65
20,108,769NHAI31,NE,26,26,100.00
20,109,769TN33,SG,700,700,100.00
20,110,76NHAI31,NA,2328,2227,95.66
20,111,771GS2066,GS,196548,196513,99.98
20,112,772TS46,SG,200,200,100.00
20,113,774IREDA31,N7,20,20,100.00
20,114,779AP42,SG,100,100,100.00
20,115,77MH33A,SG,400,400,100.00
20,116,781RJ49,SG,100,100,100.00
20,117,788HR41,SG,2000,2000,100.00
20,118,792BR51,SG,100,100,100.00
20,119,794TN32,SG,4000,4000,100.00
20,120,795GS2032,GS,4178,4178,100.00
20,121,797IGT31,NL,100,50,50.00
20,122,799HR44,SG,3000,2000,66.67
20,123,79NHIT35,N1,135,130,96.30
20,124,79NHIT40,N2,40,40,100.00
20,125,79NHIT47,N3,103,103,100.00
20,126,813GS2045,GS,22,22,100.00
20,127,81TCHF28,N8,9,9,100.00
20,128,824GS2027,GS,2603,2603,100.00
20,129,82IGT31,NJ,1,1,100.00
20,130,830NHAI27,N2,240,240,100.00
20,131,830PFCL27,N5,200,200,100.00
20,132,842IIFL26,NL,219,219,100.00
20,133,843IHFL29,NC,25,25,100.00
20,134,860AEL28,NH,71,71,100.00
20,135,863IRFC29,NC,270,270,100.00
20,136,865IFL28,NZ,22,22,100.00
20,137,865IIFL28,NS,5,5,100.00
