Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,28082026,1754412556,0003336
Trade Date <28-AUG-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1003IIFL29,NC,649,649,100.00
20,2,1003ISFL28,N4,55,55,100.00
20,3,1003SCL30A,NV,28,0,0.00
20,4,1015ECL29,NR,3,3,100.00
20,5,1015SCL28,NR,6,6,100.00
20,6,1015SCL29,ZL,43,40,93.02
20,7,1018GS2026,GS,4913,4650,94.65
20,8,1025IIFL30,Y3,1,1,100.00
20,9,1025PATE28,N0,6,6,100.00
20,10,1025UCL27A,NG,2,2,100.00
20,11,1030SFIL28,NM,5,1,20.00
20,12,1050ISFL28,N5,13,13,100.00
20,13,1050UCL28,NH,110,110,100.00
20,14,105IIFL29,N7,55,55,100.00
20,15,1065NFL27,NC,1100,1100,100.00
20,16,1075SCL33A,N2,40,40,100.00
20,17,1075WCA28,N0,33,33,100.00
20,18,10CAGL27,N5,20,20,100.00
20,19,10IIFL28,N4,52,51,98.08
20,20,10IIFL28A,NE,420,410,97.62
20,21,10IIFL29,N6,11,10,90.91
20,22,10ISFL26,N3,248,248,100.00
20,23,10MWL29,N0,1,1,100.00
20,24,1119NFL27,ND,49,49,100.00
20,25,115AFIL28A,N0,106,106,100.00
20,26,1225IFL27,N0,17,17,100.00
20,27,125VCCL31,N0,3,3,100.00
20,28,12AFIL27A,N0,1,1,100.00
20,29,12VCCL28,N0,1,1,100.00
20,30,20MICRONS,EQ,241206,109988,45.60
20,31,21STCENMGM,EQ,3530,3058,86.63
20,32,360ONE,EQ,422710,234623,55.50
20,33,364D291026,TB,500,500,100.00
20,34,3BBLACKBIO,EQ,45446,22412,49.32
20,35,3MINDIA,EQ,2422,895,36.95
20,36,3PLAND,EQ,2074,1243,59.93
20,37,574GS2026,GS,91,91,100.00
20,38,5PAISA,EQ,16145,9269,57.41
20,39,603GS2029,GS,400,400,100.00
20,40,610GS2031,GS,1,1,100.00
20,41,620GS2029,GS,24240,23900,98.60
20,42,636GS2031,GS,44000,44000,100.00
20,43,63MOONS,EQ,242493,96845,39.94
20,44,653CG28,SG,100,100,100.00
20,45,654GS2032,GS,868,868,100.00
20,46,657GS2033A,GS,2000,2000,100.00
20,47,667GS2050,GS,5,5,100.00
20,48,668GS2033,GS,200,200,100.00
20,49,668GS2040,GS,1913,1913,100.00
20,50,672KL27,SG,100,100,100.00
20,51,675GS2029,GS,3100,3100,100.00
20,52,676GS2061,GS,229769,208764,90.86
20,53,679GS2031,GS,100,100,100.00
20,54,679GS2034,GS,50,50,100.00
20,55,690GS2065,GS,17822,17818,99.98
20,56,694GS2036,GS,1102,1100,99.82
20,57,695GS2061,GS,35,35,100.00
20,58,698GR2054,GS,2,2,100.00
20,59,702GS2027,GS,152,152,100.00
20,60,705PFCL41,NA,1,1,100.00
20,61,706GS2028,GS,17000,17000,100.00
20,62,706GS2041,GS,5110,5110,100.00
20,63,706GS2046,GS,2,2,100.00
20,64,709GS2054,GS,34619,34377,99.30
20,65,709GS2074,GS,12819,12774,99.65
20,66,710GS2029,GS,8348,8248,98.80
20,67,717TCHFL30,N0,1,1,100.00
20,68,718GS2037,GS,44624,44620,99.99
20,69,71GS2034,GS,102,100,98.04
20,70,723GS2039,GS,50,50,100.00
20,71,724GS2055,GS,43552,43552,100.00
20,72,725GS2063,GS,892960,851895,95.40
20,73,726GS2032,GS,15470,15470,100.00
20,74,728NTPC30B,N9,1,1,100.00
20,75,730PFCL41,NC,26,26,100.00
20,76,732GS2030,GS,100,100,100.00
20,77,733GS2026,GS,2747,2747,100.00
20,78,734GS2064,GS,59157,58157,98.31
20,79,736GS2052,GS,1083,1041,96.12
20,80,737NTPC35C,NA,38,38,100.00
20,81,738GS2027,GS,30029,29415,97.96
20,82,73GS2053,GS,25813,25738,99.71
20,83,741GS2036,GS,2030,2030,100.00
20,84,742TN34A,SG,700,700,100.00
20,85,743GJ27,SG,100,100,100.00
20,86,743GS2076,GS,372532,371931,99.84
20,87,743REC35,NH,115,115,100.00
20,88,745TS48,SG,100,100,100.00
20,89,746GS2073,GS,1701,1701,100.00
20,90,747HP33,SG,100,100,100.00
20,91,747PN32,SG,2200,2200,100.00
20,92,74GS2062,GS,1019,1019,100.00
20,93,750GS2056,GS,198,198,100.00
20,94,753IRFC30,NJ,1449,1449,100.00
20,95,754GS2036,GS,357450,347251,97.15
20,96,755MH34,SG,200,200,100.00
20,97,764IRFC31,NO,2786,2786,100.00
20,98,764NABAR31,N2,477,477,100.00
20,99,765TN30,SG,100,100,100.00
20,100,765TS49,SG,100,100,100.00
20,101,769HUDCO31,N9,758,758,100.00
20,102,769NHAI31,NE,643,643,100.00
20,103,76NHAI31,NA,3,2,66.67
20,104,771GS2066,GS,3484,3390,97.30
20,105,773BR39,SG,200,200,100.00
20,106,774AP36A,SG,300,300,100.00
20,107,774IREDA31,N7,607,607,100.00
20,108,774RJ34,SG,100,100,100.00
20,109,779PN38,SG,400,200,50.00
20,110,781RJ49,SG,1000,1000,100.00
20,111,785AP40,SG,100,100,100.00
20,112,795GS2032,GS,10,10,100.00
20,113,79NHIT35,N1,2515,2150,85.49
20,114,79NHIT40,N2,1554,1427,91.83
20,115,79NHIT47,N3,191,111,58.12
20,116,807AP51,SG,100,100,100.00
20,117,810IRFC27,N2,4660,4330,92.92
20,118,812REC27,NI,1020,1020,100.00
20,119,81TCHF28,N8,20,20,100.00
20,120,829PFL29,N6,25,25,100.00
20,121,82HUDCO27,N2,2869,2506,87.35
20,122,830NHAI27,N2,6008,4346,72.34
20,123,830PFCL27,N5,1120,1120,100.00
20,124,842IIFL26,NL,1241,1124,90.57
20,125,843IHFL29,NC,614,614,100.00
20,126,84TCHF28,NA,5,5,100.00
20,127,850CIFCL26,NE,27,27,100.00
20,128,852IIFL29,Y5,397,397,100.00
20,129,862AEL31,NM,156,116,74.36
20,130,865IIFL28,NS,197,197,100.00
20,131,865IRFC29,NA,291,291,100.00
20,132,865LTF26,NN,122,122,100.00
20,133,865SCL26,N8,41,41,100.00
20,134,865SCL27,N4,246,246,100.00
20,135,865TCAPS27,N8,286,258,90.21
20,136,871REC28,N9,2825,2815,99.65
20,137,875NHAI29,N6,227,200,88.11
20,138,876HUDCO28,ND,202,202,100.00
20,139,87LTF27,NH,200,200,100.00
20,140,880IREDA29,N5,349,199,57.02
20,141,885TCAPS29,NC,50,30,60.00
20,142,888IRFC29,NE,197,197,100.00
20,143,888REC29,NF,5,5,100.00
20,144,888SCL25E,N4,1286,1120,87.09
20,145,889SCL26,NS,25,25,100.00
20,146,890AEL31,NN,92,91,98.91
20,147,892NHPC33,N6,750,750,100.00
20,148,892PFCL33,N8,70,70,100.00
20,149,893NHB29,N6,10,10,100.00
20,150,895AEL27,N9,5,5,100.00
20,151,897GS2030,GS,50,50,100.00
20,152,897MOFSL29,N4,120,120,100.00
20,153,89IHFL29,N1,95,95,100.00
20,154,901HUDCO34,NE,365,255,69.86
20,155,901NHB34,N6,113,113,100.00
20,156,902SCL28,N1,22,22,100.00
20,157,910TCAP28,NA,1448,1426,98.48
20,158,915AEL28,NC,10,10,100.00
20,159,91D081026,TB,200,200,100.00
20,160,91D121126,TB,2900,1900,65.52
20,161,925ECL28,N2,5,5,100.00
20,162,925ISF28,N0,98,98,100.00
20,163,925ISF29,N0,11,11,100.00
20,164,925SCL2028,N8,100,100,100.00
20,165,92GS2030,GS,13881,9481,68.30
20,166,930AEL30,NF,57,57,100.00
20,167,930APMD32,N0,1,1,100.00
20,168,935PFL33,N3,74,74,100.00
20,169,935TSI29,N0,1,1,100.00
20,170,935TSIIC28,N0,4,4,100.00
