Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,31082026,3068735779,0003375
Trade Date <31-AUG-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,139,865LTF26,NN,173,113,65.32
20,140,865SCL26,N8,115,115,100.00
20,141,865SCL27,N4,28,28,100.00
20,142,865TCAPS27,N8,346,346,100.00
20,143,870IIFL28,Y7,10,10,100.00
20,144,871REC28,N9,3624,3335,92.03
20,145,875AEL29,NK,60,0,0.00
20,146,875IHFL29,ND,34,34,100.00
20,147,875NHAI29,N6,2389,2340,97.95
20,148,875SCL23A,YI,1,1,100.00
20,149,876HUDCO28,ND,3025,2074,68.56
20,150,879NHPC28,N5,100,100,100.00
20,151,879SCL26,NC,1,1,100.00
20,152,879SCL30,N0,5,5,100.00
20,153,87LTF27,NH,48,46,95.83
20,154,880IREDA29,N5,116,116,100.00
20,155,880IREDA34,N6,5,5,100.00
20,156,888ECL28,N1,90,90,100.00
20,157,888IRFC29,NE,510,510,100.00
20,158,888SCL25E,N4,25,25,100.00
20,159,890AEL31,NN,523,423,80.88
20,160,890SFIL23A,NZ,38,38,100.00
20,161,891IIFCL34,N4,2296,2070,90.16
20,162,891NTPC33,N6,251,251,100.00
20,163,892PFCL33,N8,102,101,99.02
20,164,897GS2030,GS,1000,1000,100.00
20,165,898LTF29,N7,19,19,100.00
20,166,8ABCL26,N2,500,500,100.00
20,167,901HUDCO34,NE,291,278,95.53
20,168,901NHB34,N6,230,201,87.39
20,169,905LTF27,NF,30,30,100.00
20,170,905PFL26,N1,74,74,100.00
20,171,910TCAP28,NA,378,378,100.00
20,172,915APSBC28,N0,2,2,100.00
20,173,915APSBC30,N0,5,5,100.00
20,174,915APSBC31,N0,14,11,78.57
20,175,915APSBC33,N0,3,3,100.00
20,176,91D011026,TB,300,300,100.00
20,177,91D081026,TB,100,100,100.00
20,178,91D100926,TB,200,200,100.00
20,179,91D121126,TB,200,200,100.00
20,180,91D151026,TB,3300,3300,100.00
20,181,91D170926,TB,2100,2100,100.00
20,182,925ECL28,N2,598,598,100.00
20,183,925ISF28,N0,14,14,100.00
20,184,925ISF29,N0,6,6,100.00
20,185,925SCL2028,N8,54,54,100.00
20,186,925SCL26W,N1,1,1,100.00
20,187,92GS2030,GS,8446,8445,99.99
20,188,930AEL30,NF,232,232,100.00
20,189,930APMD27,N0,2,2,100.00
20,190,930APMD30,N0,45,45,100.00
20,191,930SFL28,YP,32,32,100.00
20,192,93MOFSL34,N6,438,258,58.90
20,193,93SCL24A,ZN,70,70,100.00
20,194,943ECL28,NJ,200,200,100.00
20,195,948SCL26A,NN,3,3,100.00
20,196,948SCL27A,ZJ,76,76,100.00
20,197,948SCL27D,N1,3,3,100.00
20,198,955SCL35,NO,5,5,100.00
20,199,957ICCL25,YW,93,93,100.00
20,200,965AEL27,N4,131,126,96.18
20,201,965ISF28,N0,2,2,100.00
20,202,96IIFL28,N5,394,394,100.00
20,203,96IIFL28A,NF,1261,966,76.61
20,204,970CAGL28,ND,41,41,100.00
20,205,971SCL28A,NT,5,5,100.00
20,206,971SCL28I,BC,18,18,100.00
20,207,975ISF28,N0,2,2,100.00
20,208,985ECL28,NK,603,603,100.00
20,209,985SFIL28,NO,13,13,100.00
20,210,990SCL26,N7,1,1,100.00
