Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,03092026,1819883055,0003354
Trade Date <03-SEP-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,139,886REC34,NG,981,980,99.90
20,140,888ECL28,N1,5,5,100.00
20,141,888IRFC29,NE,430,430,100.00
20,142,888REC29,NF,1250,1000,80.00
20,143,888SCL25E,N4,34,21,61.76
20,144,890AEL31,NN,1543,1366,88.53
20,145,891NTPC33,N6,622,622,100.00
20,146,897GS2030,GS,1507,1507,100.00
20,147,8ABCL26,N2,50,50,100.00
20,148,901HUDCO34,NE,22,22,100.00
20,149,901NHB34,N6,151,137,90.73
20,150,902SCL28,N1,75,75,100.00
20,151,903SFL28,YI,9,9,100.00
20,152,915AEL28,NC,19,19,100.00
20,153,915APSBC30,N0,10,10,100.00
20,154,915SCL26,NE,590,590,100.00
20,155,91D011026,TB,300,300,100.00
20,156,91MOFSL27,N2,300,300,100.00
20,157,925ECL28,N2,242,242,100.00
20,158,925ISF28,N0,5,5,100.00
20,159,925ISF29,N0,20,20,100.00
20,160,92GS2030,GS,16495,16495,100.00
20,161,930AEL30,NF,985,868,88.12
20,162,930APMD29,N0,1,1,100.00
20,163,930APMD30,N0,23,23,100.00
20,164,930APMD32,N0,6,6,100.00
20,165,930SFL28,YP,10,10,100.00
20,166,935PFL33,N3,9,9,100.00
20,167,935TSIIC28,N0,1,1,100.00
20,168,93MOFSL34,N6,26,26,100.00
20,169,943ECL28,NJ,390,390,100.00
20,170,945SCL32,NL,32,32,100.00
20,171,948SCL27A,ZJ,41,41,100.00
20,172,948SCL27D,N1,1,1,100.00
20,173,948SCL28,N1,2500,2500,100.00
20,174,94SFL28,YL,200,200,100.00
20,175,950ISF27C,N0,19,19,100.00
20,176,957IIFLS27,NA,10,10,100.00
20,177,965AEL27,N4,666,666,100.00
20,178,965ISF28,N0,1,1,100.00
20,179,96IIFL28,N5,104,102,98.08
20,180,96IIFL28A,NF,110,110,100.00
20,181,970CAGL28,ND,53,53,100.00
20,182,971SCL30,N1,16,16,100.00
20,183,975BNAL28,N0,3,3,100.00
20,184,97MOFSL34,N7,81,81,100.00
20,185,985ECL28,NK,510,377,73.92
20,186,985SFIL28,NO,36,36,100.00
20,187,990SCL26B,Y7,50,50,100.00
20,188,99AEL29,N7,55,55,100.00
20,189,9AEL30,NE,300,300,100.00
20,190,9PCPL28A,N0,12,11,91.67
20,191,9PFL31A,NA,100,100,100.00
20,192,9SCL26BA,NA,5,5,100.00
20,193,A2ZINFRA,EQ,336137,213672,63.57
20,194,AAATECH,EQ,2783,2204,79.20
20,195,AADHARHFC,EQ,273006,187917,68.83
20,196,AAKAAR,SM,1600,1600,100.00
20,197,AAKASH,EQ,90898,70973,78.08
20,198,AARADHYA,SM,16800,14400,85.71
20,199,AAREYDRUGS,EQ,146325,100885,68.95
20,200,AARON,EQ,13550,10415,76.86
20,201,AARTIDRUGS,EQ,379789,175349,46.17
20,202,AARTIIND,EQ,529276,229132,43.29
20,203,AARTIPHARM,EQ,378950,138831,36.64
20,204,AARVI,EQ,8501,6458,75.97
20,205,AASTHA,EQ,540815,360857,66.72
20,206,AAVAS,EQ,230500,143483,62.25
20,207,ABANSENT,EQ,5425,5375,99.08
20,208,ABB,EQ,153649,97678,63.57
20,209,ABBOTINDIA,EQ,3151,1794,56.93
20,210,ABCAPITAL,EQ,1903527,939943,49.38
20,211,ABCL26,N3,85,85,100.00
20,212,ABCOTS,EQ,1315,634,48.21
20,213,ABDL,EQ,127184,49799,39.16
20,214,ABFRL,EQ,3271761,1812474,55.40
20,215,ABGSEC,EQ,58,57,98.28
20,216,ABH,ST,8400,8400,100.00
20,217,ABHAPOWER,SM,8000,8000,100.00
20,218,ABLBL,EQ,615778,344527,55.95
20,219,ABMKNO,EQ,295,228,77.29
20,220,ABREL,EQ,242377,95347,39.34
20,221,ABSL10BANK,EQ,573,525,91.62
20,222,ABSLAMC,EQ,201804,127135,63.00
20,223,ABSLBANETF,EQ,55244,46823,84.76
20,224,ABSLLIQUID,EQ,6503,2746,42.23
20,225,ABSLMSCIN,EQ,297,246,82.83
20,226,ABSLNN50ET,EQ,6251,3231,51.69
20,227,ABSLPSE,EQ,75639,39678,52.46
20,228,ABSMARINE,SM,130500,99000,75.86
20,229,ACC,EQ,93466,51473,55.07
20,230,ACCELYA,EQ,4291,2936,68.42
20,231,ACCENTMIC,SM,23000,18500,80.43
20,232,ACCPL,ST,7200,7200,100.00
20,233,ACE,EQ,330531,139807,42.30
20,234,ACEINTEG,EQ,1304,936,71.78
20,235,ACGL,EQ,309,207,66.99
20,236,ACI,EQ,666712,373979,56.09
20,237,ACL,EQ,11113,7902,71.11
20,238,ACMESOLAR,EQ,854705,396127,46.35
20,239,ACUTAAS,EQ,211905,134035,63.25
20,240,ADANIENSOL,EQ,1939729,892178,45.99
20,241,ADANIENT,EQ,816124,338146,41.43
20,242,ADANIGREEN,EQ,1133280,401139,35.40
20,243,ADANIPORTS,EQ,3370497,1688038,50.08
20,244,ADANIPOWER,EQ,17538881,5574310,31.78
20,245,ADDICTIVE,SM,34000,33000,97.06
20,246,ADDIND,EQ,2206,2116,95.92
20,247,ADFFOODS,EQ,59722,33159,55.52
20,248,ADISOFT,SM,44800,29600,66.07
20,249,ADL,EQ,776,753,97.04
20,250,ADOR,EQ,22575,12827,56.82
20,251,ADROITINFO,EQ,10043,6268,62.41
20,252,ADSL,EQ,77592,38281,49.34
20,253,ADVAIT,EQ,56826,29883,52.59
20,254,ADVANCE,EQ,99888,55779,55.84
20,255,ADVANIHOTR,EQ,22473,15749,70.08
20,256,ADVENTHTL,EQ,86090,48133,55.91
20,257,ADVENZYMES,EQ,118836,64303,54.11
20,258,ADVIKCA,EQ,325275,257348,79.12
20,259,AEGISLOG,EQ,754823,361357,47.87
20,260,AEGISVOPAK,EQ,1926863,636392,33.03
20,261,AEL120126,NL,114,114,100.00
20,262,AEL120924A,N5,210,210,100.00
20,263,AEL170725,ND,1,1,100.00
20,264,AEPL,EQ,268429,144504,53.83
20,265,AEQUS,EQ,5020432,2028217,40.40
20,266,AEROENTER,EQ,671011,319060,47.55
20,267,AEROFLEX,EQ,731290,288886,39.50
20,268,AERON,SM,60000,59000,98.33
20,269,AERONEU,EQ,38951,17973,46.14
20,270,AEROPLANE,EQ,633269,412277,65.10
20,271,AESTHETIK,SM,4000,2000,50.00
20,272,AETHER,EQ,137904,58309,42.28
20,273,AFCONS,EQ,973217,471737,48.47
20,274,AFFLE,EQ,1325612,942566,71.10
20,275,AFFORDABLE,EQ,12094,9648,79.78
20,276,AFIL,EQ,313894,233431,74.37
20,277,AFSL,EQ,3310,1968,59.46
20,278,AGARIND,EQ,41157,21394,51.98
20,279,AGARWALEYE,EQ,755505,354430,46.91
20,280,AGARWALFT,SM,25500,22500,88.24
20,281,AGARWALTUF,SM,16800,13200,78.57
20,282,AGI,EQ,149192,75281,50.46
20,283,AGIIL,EQ,901682,335700,37.23
20,284,AGL,EQ,1278727,784355,61.34
20,285,AGNI,SM,2500,2500,100.00
20,286,AGRITECH,EQ,2440,1269,52.01
20,287,AGROPHOS,EQ,33501,22873,68.28
20,288,AHCL,EQ,5112726,2004681,39.21
20,289,AHIMSA,ST,27000,27000,100.00
20,290,AHLADA,EQ,2175,1693,77.84
20,291,AHLEAST,EQ,7776,4266,54.86
20,292,AHLUCONT,EQ,58695,29915,50.97
